"hyp","evalue","BHcrit","rejected","outcome","var"
"MotivationXDepressed (adolescent)",1.9405504709654e+39,TRUE,TRUE,"Depressed (adolescent)","Motivation"
"MotivationXLow self-esteem (adolescent)",2.93773195131155e+27,TRUE,TRUE,"Low self-esteem (adolescent)","Motivation"
"DistressXHigh emotional problems (parent)",0.000189651524498601,FALSE,FALSE,"High emotional problems (parent)","Distress"
"ClosenessXHigh conduct problems (parent)",3.60683363451127e-05,FALSE,FALSE,"High conduct problems (parent)","Closeness"
"DistressXHigh total difficulties (parent)",3.16007723822783e-12,FALSE,FALSE,"High total difficulties (parent)","Distress"
"ClosenessXDepressed (adolescent)",2.90333924022317e-15,FALSE,FALSE,"Depressed (adolescent)","Closeness"
"MaleXDepressed (adolescent)",4.6729425785248e-16,FALSE,FALSE,"Depressed (adolescent)","Male"
"IllnessXHigh total difficulties (parent)",3.60863374897447e-21,FALSE,FALSE,"High total difficulties (parent)","Illness"
"IllnessXHigh emotional problems (parent)",2.78500013347509e-22,FALSE,FALSE,"High emotional problems (parent)","Illness"
"MaleXLow self-esteem (adolescent)",6.53076964994012e-24,FALSE,FALSE,"Low self-esteem (adolescent)","Male"
"MaleXHigh hyperactivity/inattention (parent)",6.27522492818746e-26,FALSE,FALSE,"High hyperactivity/inattention (parent)","Male"
"DistressXHigh peer problems (parent)",9.18782604624139e-29,FALSE,FALSE,"High peer problems (parent)","Distress"
"DistressXHigh conduct problems (parent)",1.0383309816737e-30,FALSE,FALSE,"High conduct problems (parent)","Distress"
"MotivationXHigh total difficulties (parent)",3.29338792063259e-31,FALSE,FALSE,"High total difficulties (parent)","Motivation"
"IllnessXHigh hyperactivity/inattention (parent)",2.04402579510423e-33,FALSE,FALSE,"High hyperactivity/inattention (parent)","Illness"
"MotivationXHigh hyperactivity/inattention (parent)",1.42491921219687e-33,FALSE,FALSE,"High hyperactivity/inattention (parent)","Motivation"
"ClosenessXHigh total difficulties (parent)",2.9992650170907e-35,FALSE,FALSE,"High total difficulties (parent)","Closeness"
"MaleXHigh emotional problems (parent)",1.23668501717134e-35,FALSE,FALSE,"High emotional problems (parent)","Male"
"DistressXHigh hyperactivity/inattention (parent)",1.39689406052679e-36,FALSE,FALSE,"High hyperactivity/inattention (parent)","Distress"
"ClosenessXLow pro-sociality (parent)",1.17151530661893e-36,FALSE,FALSE,"Low pro-sociality (parent)","Closeness"
"ClosenessXLow self-esteem (adolescent)",1.74742756740981e-39,FALSE,FALSE,"Low self-esteem (adolescent)","Closeness"
"IllnessXHigh peer problems (parent)",7.33209756795765e-40,FALSE,FALSE,"High peer problems (parent)","Illness"
"MotivationXHigh emotional problems (parent)",1.86477785492807e-41,FALSE,FALSE,"High emotional problems (parent)","Motivation"
"BMIXHigh peer problems (parent)",1.60446487779763e-43,FALSE,FALSE,"High peer problems (parent)","BMI"
"ClosenessXHigh hyperactivity/inattention (parent)",3.0166011441158e-44,FALSE,FALSE,"High hyperactivity/inattention (parent)","Closeness"
"ScoreXHigh conduct problems (parent)",1.2844341488286e-44,FALSE,FALSE,"High conduct problems (parent)","Score"
"MotivationXHigh conduct problems (parent)",4.4491175478772e-45,FALSE,FALSE,"High conduct problems (parent)","Motivation"
"ScoreXHigh peer problems (parent)",2.48304378302765e-46,FALSE,FALSE,"High peer problems (parent)","Score"
"ScoreXHigh total difficulties (parent)",1.50331357225195e-46,FALSE,FALSE,"High total difficulties (parent)","Score"
"IllnessXHigh conduct problems (parent)",1.96167709857556e-47,FALSE,FALSE,"High conduct problems (parent)","Illness"
"BMIXHigh total difficulties (parent)",7.86230457246622e-48,FALSE,FALSE,"High total difficulties (parent)","BMI"
