"var","evalue","yvar"
"Income",2.94418732631803e-50,"High conduct problems (parent)"
"Siblings",1.93450929687826e-53,"High conduct problems (parent)"
"Distress",1.0383309816737e-30,"High conduct problems (parent)"
"Time",4.36811764209686e-53,"High conduct problems (parent)"
"Illness",1.96167709857556e-47,"High conduct problems (parent)"
"Employed",7.77967763062827e-54,"High conduct problems (parent)"
"Score",1.2844341488286e-44,"High conduct problems (parent)"
"Father",2.90349375763782e-53,"High conduct problems (parent)"
"Closeness",3.60683363451127e-05,"High conduct problems (parent)"
"Ethnicity",6.42831063165847e-53,"High conduct problems (parent)"
"Motivation",4.4491175478772e-45,"High conduct problems (parent)"
"BMI",1.77606986242405e-50,"High conduct problems (parent)"
"Age",4.48879044096807e-53,"High conduct problems (parent)"
"Male",1.11815798528399e-52,"High conduct problems (parent)"
"`Own computer`",4.96942655490042e-53,"High conduct problems (parent)"
"`Other internet`",2.20962734009835e-53,"High conduct problems (parent)"
"`Social media`",5.1999129143099e-54,"High conduct problems (parent)"
"`Electronic games`",1.23902742421781e-52,"High conduct problems (parent)"
"TV",2.12279866459984e-53,"High conduct problems (parent)"
"(Intercept)",1.15039484879543e-50,"High conduct problems (parent)"
