"llik","modname","yvar"
-3320.17872369931,"minIncome","High conduct problems (parent)"
-3312.85098929259,"minSiblings","High conduct problems (parent)"
-3365.18820732921,"minDistress","High conduct problems (parent)"
-3313.66546776241,"minTime","High conduct problems (parent)"
-3326.68044591949,"minIllness","High conduct problems (parent)"
-3311.9400654003,"minEmployed","High conduct problems (parent)"
-3333.16471969882,"minScore","High conduct problems (parent)"
-3313.2570503475,"minFather","High conduct problems (parent)"
-3423.99805033324,"minCloseness","High conduct problems (parent)"
-3314.0518473631,"minEthnicity","High conduct problems (parent)"
-3332.10452210823,"minMotivation","High conduct problems (parent)"
-3319.67329385135,"minBMI","High conduct problems (parent)"
-3313.69271886754,"minAge","High conduct problems (parent)"
-3314.60540335999,"minMale","High conduct problems (parent)"
-3313.79444004376,"min`Own computer`","High conduct problems (parent)"
-3312.98395946854,"min`Other internet`","High conduct problems (parent)"
-3311.53719237682,"min`Social media`","High conduct problems (parent)"
-3314.70804742117,"min`Electronic games`","High conduct problems (parent)"
-3312.94387093451,"minTV","High conduct problems (parent)"
-3319.23899610082,"min(Intercept)","High conduct problems (parent)"
