"var","evalue","yvar"
"Income",2.78396070734167e-51,"High total difficulties (parent)"
"Siblings",5.67708450917937e-54,"High total difficulties (parent)"
"Distress",3.16007723822783e-12,"High total difficulties (parent)"
"Time",4.69272474424559e-53,"High total difficulties (parent)"
"Illness",3.60863374897447e-21,"High total difficulties (parent)"
"Employed",2.00826979030005e-53,"High total difficulties (parent)"
"Score",1.50331357225195e-46,"High total difficulties (parent)"
"Father",3.26804352561285e-53,"High total difficulties (parent)"
"Closeness",2.9992650170907e-35,"High total difficulties (parent)"
"Ethnicity",2.61841759659385e-54,"High total difficulties (parent)"
"Motivation",3.29338792063259e-31,"High total difficulties (parent)"
"BMI",7.86230457246622e-48,"High total difficulties (parent)"
"Age",6.35400654108331e-54,"High total difficulties (parent)"
"Male",2.79974934960203e-54,"High total difficulties (parent)"
"`Own computer`",2.50674150203567e-54,"High total difficulties (parent)"
"`Other internet`",2.64155109677802e-54,"High total difficulties (parent)"
"`Social media`",1.82155622830322e-51,"High total difficulties (parent)"
"`Electronic games`",1.49757827252314e-50,"High total difficulties (parent)"
"TV",1.07746359838212e-53,"High total difficulties (parent)"
"(Intercept)",3.27808654802231e-52,"High total difficulties (parent)"
