"var","evalue","yvar"
"Income",2.81205409900271e-50,"High hyperactivity/inattention (parent)"
"Siblings",1.92806700290265e-53,"High hyperactivity/inattention (parent)"
"Distress",1.39689406052679e-36,"High hyperactivity/inattention (parent)"
"Time",2.09019557459765e-52,"High hyperactivity/inattention (parent)"
"Illness",2.04402579510423e-33,"High hyperactivity/inattention (parent)"
"Employed",6.54342971198937e-54,"High hyperactivity/inattention (parent)"
"Score",1.93836270654257e-50,"High hyperactivity/inattention (parent)"
"Father",2.37313576497509e-53,"High hyperactivity/inattention (parent)"
"Closeness",3.0166011441158e-44,"High hyperactivity/inattention (parent)"
"Ethnicity",5.843809496667e-53,"High hyperactivity/inattention (parent)"
"Motivation",1.42491921219687e-33,"High hyperactivity/inattention (parent)"
"BMI",4.55888638745951e-54,"High hyperactivity/inattention (parent)"
"Age",1.58571767031794e-53,"High hyperactivity/inattention (parent)"
"Male",6.27522492818746e-26,"High hyperactivity/inattention (parent)"
"`Own computer`",5.44093278859954e-54,"High hyperactivity/inattention (parent)"
"`Other internet`",9.19901870071046e-54,"High hyperactivity/inattention (parent)"
"`Social media`",4.26667285195872e-54,"High hyperactivity/inattention (parent)"
"`Electronic games`",1.51588500765665e-53,"High hyperactivity/inattention (parent)"
"TV",2.03071838801988e-53,"High hyperactivity/inattention (parent)"
"(Intercept)",3.03489213189231e-52,"High hyperactivity/inattention (parent)"
