"var","evalue","yvar"
"Income",3.4400482005838e-49,"High peer problems (parent)"
"Siblings",2.74953714805406e-51,"High peer problems (parent)"
"Distress",9.18782604624139e-29,"High peer problems (parent)"
"Time",4.37780587721022e-53,"High peer problems (parent)"
"Illness",7.33209756795765e-40,"High peer problems (parent)"
"Employed",9.87208535809845e-53,"High peer problems (parent)"
"Score",2.48304378302765e-46,"High peer problems (parent)"
"Father",1.66111892538862e-53,"High peer problems (parent)"
"Closeness",9.77260063532314e-49,"High peer problems (parent)"
"Ethnicity",1.30838643669817e-53,"High peer problems (parent)"
"Motivation",3.87573914499403e-49,"High peer problems (parent)"
"BMI",1.60446487779763e-43,"High peer problems (parent)"
"Age",3.04511548426539e-53,"High peer problems (parent)"
"Male",1.86036098577102e-53,"High peer problems (parent)"
"`Own computer`",8.99874456118093e-54,"High peer problems (parent)"
"`Other internet`",1.12390363792674e-49,"High peer problems (parent)"
"`Social media`",7.45410367106449e-50,"High peer problems (parent)"
"`Electronic games`",4.46467340538969e-50,"High peer problems (parent)"
"TV",2.45743869386756e-53,"High peer problems (parent)"
"(Intercept)",5.84194627612395e-53,"High peer problems (parent)"
