"hyp","evalue","BHcrit","rejected"
"DistressXHigh peer problems (parent)",9.18782604624139e-29,FALSE,FALSE
"IllnessXHigh peer problems (parent)",7.33209756795765e-40,FALSE,FALSE
"BMIXHigh peer problems (parent)",1.60446487779763e-43,FALSE,FALSE
"ScoreXHigh peer problems (parent)",2.48304378302765e-46,FALSE,FALSE
"ClosenessXHigh peer problems (parent)",9.77260063532314e-49,FALSE,FALSE
"MotivationXHigh peer problems (parent)",3.87573914499403e-49,FALSE,FALSE
"IncomeXHigh peer problems (parent)",3.4400482005838e-49,FALSE,FALSE
"`Other internet`XHigh peer problems (parent)",1.12390363792674e-49,FALSE,FALSE
"`Social media`XHigh peer problems (parent)",7.45410367106449e-50,FALSE,FALSE
"`Electronic games`XHigh peer problems (parent)",4.46467340538969e-50,FALSE,FALSE
"SiblingsXHigh peer problems (parent)",2.74953714805406e-51,FALSE,FALSE
"EmployedXHigh peer problems (parent)",9.87208535809845e-53,FALSE,FALSE
"TimeXHigh peer problems (parent)",4.37780587721022e-53,FALSE,FALSE
"AgeXHigh peer problems (parent)",3.04511548426539e-53,FALSE,FALSE
"TVXHigh peer problems (parent)",2.45743869386756e-53,FALSE,FALSE
"MaleXHigh peer problems (parent)",1.86036098577102e-53,FALSE,FALSE
"FatherXHigh peer problems (parent)",1.66111892538862e-53,FALSE,FALSE
"EthnicityXHigh peer problems (parent)",1.30838643669817e-53,FALSE,FALSE
"`Own computer`XHigh peer problems (parent)",8.99874456118093e-54,FALSE,FALSE
