"hyp","evalue","BHcrit","rejected"
"ClosenessXLow pro-sociality (parent)",1.17151530661893e-36,FALSE,FALSE
"MaleXLow pro-sociality (parent)",1.81174623108964e-48,FALSE,FALSE
"MotivationXLow pro-sociality (parent)",1.04023106450455e-48,FALSE,FALSE
"DistressXLow pro-sociality (parent)",7.1854460454833e-50,FALSE,FALSE
"IllnessXLow pro-sociality (parent)",3.42873685431939e-50,FALSE,FALSE
"`Electronic games`XLow pro-sociality (parent)",1.28154497883131e-50,FALSE,FALSE
"SiblingsXLow pro-sociality (parent)",4.96788343250772e-51,FALSE,FALSE
"`Own computer`XLow pro-sociality (parent)",1.14177519133123e-52,FALSE,FALSE
"`Social media`XLow pro-sociality (parent)",7.72008004389336e-53,FALSE,FALSE
"IncomeXLow pro-sociality (parent)",5.12774033088523e-53,FALSE,FALSE
"TimeXLow pro-sociality (parent)",4.00921204849516e-53,FALSE,FALSE
"EthnicityXLow pro-sociality (parent)",3.10044614603579e-53,FALSE,FALSE
"`Other internet`XLow pro-sociality (parent)",2.73099568560574e-53,FALSE,FALSE
"TVXLow pro-sociality (parent)",2.7167516349668e-53,FALSE,FALSE
"BMIXLow pro-sociality (parent)",2.64669666939176e-53,FALSE,FALSE
"AgeXLow pro-sociality (parent)",2.54706145420829e-53,FALSE,FALSE
"ScoreXLow pro-sociality (parent)",2.47133229590715e-53,FALSE,FALSE
"EmployedXLow pro-sociality (parent)",2.32580770445896e-53,FALSE,FALSE
"FatherXLow pro-sociality (parent)",2.30612929445703e-53,FALSE,FALSE
