"var","evalue","yvar"
"Income",1.3224665633192e-13,"Depressed (adolescent)"
"Siblings",5.42697766640696e-13,"Depressed (adolescent)"
"Distress",7.04462340068273e-13,"Depressed (adolescent)"
"Time",1.86419861175693e-13,"Depressed (adolescent)"
"Illness",5.15955579704968e-11,"Depressed (adolescent)"
"Employed",1.59760625092373e-13,"Depressed (adolescent)"
"Score",5.14009699321435e-13,"Depressed (adolescent)"
"Father",2.37795873085502e-13,"Depressed (adolescent)"
"Closeness",1577570.03275799,"Depressed (adolescent)"
"Ethnicity",3.64343890975874e-13,"Depressed (adolescent)"
"Motivation",8.04531375274746e+39,"Depressed (adolescent)"
"BMI",1.56595299051122e-11,"Depressed (adolescent)"
"Age",1.828980400751e-13,"Depressed (adolescent)"
"Male",1101069543898946,"Depressed (adolescent)"
"`Own computer`",2.0215433497158e-13,"Depressed (adolescent)"
"`Other internet`",4.18315509209678e-11,"Depressed (adolescent)"
"`Social media`",2.98785521607684e-11,"Depressed (adolescent)"
"`Electronic games`",4.38179423482351e-13,"Depressed (adolescent)"
"TV",1.38546131328866e-13,"Depressed (adolescent)"
"(Intercept)",1.34212931510064e-12,"Depressed (adolescent)"
