"llik","modname","yvar"
-1343.2445089782,"minIncome","Depressed (adolescent)"
-1344.6563927565,"minSiblings","Depressed (adolescent)"
-1344.91727506437,"minDistress","Depressed (adolescent)"
-1343.58784163866,"minTime","Depressed (adolescent)"
-1349.21103105263,"minIllness","Depressed (adolescent)"
-1343.43351679251,"minEmployed","Depressed (adolescent)"
-1344.60208232626,"minScore","Depressed (adolescent)"
-1343.83125282026,"minFather","Depressed (adolescent)"
-1387.17001285281,"minCloseness","Depressed (adolescent)"
-1344.25793836778,"minEthnicity","Depressed (adolescent)"
-1464.7845249918,"minMotivation","Depressed (adolescent)"
-1348.01867514098,"minBMI","Depressed (adolescent)"
-1343.56876903022,"minAge","Depressed (adolescent)"
-1407.53367500058,"minMale","Depressed (adolescent)"
-1343.6688716309,"min`Own computer`","Depressed (adolescent)"
-1349.00124633122,"min`Other internet`","Depressed (adolescent)"
-1348.66473637366,"min`Social media`","Depressed (adolescent)"
-1344.44246865986,"min`Electronic games`","Depressed (adolescent)"
-1343.29104353907,"minTV","Depressed (adolescent)"
-1345.56185286359,"min(Intercept)","Depressed (adolescent)"
