"var","evalue","yvar"
"Income",2.0762789615165e-21,"High conduct problems (parent)"
"Siblings",8.81215353978628e-23,"High conduct problems (parent)"
"Distress",2.9333161580212e-14,"High conduct problems (parent)"
"Time",3.04894677802031e-21,"High conduct problems (parent)"
"Illness",2.1515412501452e-16,"High conduct problems (parent)"
"Employed",5.76605875323927e-23,"High conduct problems (parent)"
"Score",6.68375860979042e-16,"High conduct problems (parent)"
"Father",1.14323872234315e-22,"High conduct problems (parent)"
"Closeness",3614.94073626369,"High conduct problems (parent)"
"Ethnicity",9.34955454602696e-23,"High conduct problems (parent)"
"Motivation",2.60865980151268e-19,"High conduct problems (parent)"
"BMI",1.35349938713825e-20,"High conduct problems (parent)"
"Age",8.19832061282414e-21,"High conduct problems (parent)"
"Male",5.70690834344068e-19,"High conduct problems (parent)"
"`Own computer`",2.43161842136523e-22,"High conduct problems (parent)"
"`Other internet`",9.80835562141023e-23,"High conduct problems (parent)"
"`Social media`",5.07917808041892e-23,"High conduct problems (parent)"
"`Electronic games`",1.11281099109321e-22,"High conduct problems (parent)"
"TV",7.43941830535235e-23,"High conduct problems (parent)"
"(Intercept)",6.35809597566751e-19,"High conduct problems (parent)"
