"var","evalue","yvar"
"Income",1.49402837742182e-12,"High total difficulties (parent)"
"Siblings",3.73010206926137e-16,"High total difficulties (parent)"
"Distress",796.05597338525,"High total difficulties (parent)"
"Time",2.19612880259341e-15,"High total difficulties (parent)"
"Illness",85.2099192971324,"High total difficulties (parent)"
"Employed",7.01652892067651e-16,"High total difficulties (parent)"
"Score",2.09508434805251e-12,"High total difficulties (parent)"
"Father",3.89913114943124e-16,"High total difficulties (parent)"
"Closeness",3.09431990652056e-07,"High total difficulties (parent)"
"Ethnicity",5.25408021266014e-16,"High total difficulties (parent)"
"Motivation",0.0165221995852072,"High total difficulties (parent)"
"BMI",3.26245926930807e-12,"High total difficulties (parent)"
"Age",4.29556421068457e-16,"High total difficulties (parent)"
"Male",7.82594050587598e-16,"High total difficulties (parent)"
"`Own computer`",5.2024840659419e-16,"High total difficulties (parent)"
"`Other internet`",5.74881166418201e-16,"High total difficulties (parent)"
"`Social media`",1.17365630826313e-14,"High total difficulties (parent)"
"`Electronic games`",1.83787484059439e-15,"High total difficulties (parent)"
"TV",2.11955087979799e-15,"High total difficulties (parent)"
"(Intercept)",2.8756653890138e-15,"High total difficulties (parent)"
