"var","evalue","yvar"
"Income",5.11288314491089e-12,"High hyperactivity/inattention (parent)"
"Siblings",5.89612287013017e-13,"High hyperactivity/inattention (parent)"
"Distress",0.000101599780095412,"High hyperactivity/inattention (parent)"
"Time",1.21070312185448e-11,"High hyperactivity/inattention (parent)"
"Illness",0.00480707295854601,"High hyperactivity/inattention (parent)"
"Employed",1.14625042694693e-12,"High hyperactivity/inattention (parent)"
"Score",9.20650548393415e-12,"High hyperactivity/inattention (parent)"
"Father",3.63305394289507e-12,"High hyperactivity/inattention (parent)"
"Closeness",1.64648448745763e-05,"High hyperactivity/inattention (parent)"
"Ethnicity",1.08253331003373e-11,"High hyperactivity/inattention (parent)"
"Motivation",0.0165721046870576,"High hyperactivity/inattention (parent)"
"BMI",1.22667617038773e-12,"High hyperactivity/inattention (parent)"
"Age",7.03520045613609e-13,"High hyperactivity/inattention (parent)"
"Male",118.828935025861,"High hyperactivity/inattention (parent)"
"`Own computer`",5.12112491238768e-13,"High hyperactivity/inattention (parent)"
"`Other internet`",8.17967188256138e-13,"High hyperactivity/inattention (parent)"
"`Social media`",4.83702604750441e-13,"High hyperactivity/inattention (parent)"
"`Electronic games`",1.44939901713042e-12,"High hyperactivity/inattention (parent)"
"TV",5.58352674434005e-13,"High hyperactivity/inattention (parent)"
"(Intercept)",1.41436511003997e-12,"High hyperactivity/inattention (parent)"
