"llik","modname","yvar"
-2103.76852951646,"minIncome","High peer problems (parent)"
-2103.10763047992,"minSiblings","High peer problems (parent)"
-2125.05066891446,"minDistress","High peer problems (parent)"
-2101.50137179615,"minTime","High peer problems (parent)"
-2112.23697875768,"minIllness","High peer problems (parent)"
-2100.60756171944,"minEmployed","High peer problems (parent)"
-2111.50838191359,"minScore","High peer problems (parent)"
-2098.54150099652,"minFather","High peer problems (parent)"
-2103.7799337315,"minCloseness","High peer problems (parent)"
-2098.9189041791,"minEthnicity","High peer problems (parent)"
-2106.80668401472,"minMotivation","High peer problems (parent)"
-2106.71398147143,"minBMI","High peer problems (parent)"
-2099.11521709309,"minAge","High peer problems (parent)"
-2098.51626246245,"minMale","High peer problems (parent)"
-2098.87505966063,"min`Own computer`","High peer problems (parent)"
-2102.5418689945,"min`Other internet`","High peer problems (parent)"
-2102.86826751704,"min`Social media`","High peer problems (parent)"
-2103.12423520308,"min`Electronic games`","High peer problems (parent)"
-2100.72898126002,"minTV","High peer problems (parent)"
-2100.43828052147,"min(Intercept)","High peer problems (parent)"
