"var","evalue","yvar"
"Income",8.81716002964835e-18,"Low pro-sociality (parent)"
"Siblings",1.27595998217625e-15,"Low pro-sociality (parent)"
"Distress",6.11226903817958e-16,"Low pro-sociality (parent)"
"Time",8.41611630018898e-18,"Low pro-sociality (parent)"
"Illness",2.63285961734329e-17,"Low pro-sociality (parent)"
"Employed",1.14727403983924e-17,"Low pro-sociality (parent)"
"Score",1.23033256151978e-17,"Low pro-sociality (parent)"
"Father",1.50593866825661e-17,"Low pro-sociality (parent)"
"Closeness",5.81111443121516e-09,"Low pro-sociality (parent)"
"Ethnicity",7.92812763885381e-18,"Low pro-sociality (parent)"
"Motivation",6.73164333839921e-16,"Low pro-sociality (parent)"
"BMI",9.33758366327559e-18,"Low pro-sociality (parent)"
"Age",6.66065180227247e-18,"Low pro-sociality (parent)"
"Male",1.24066914625805e-16,"Low pro-sociality (parent)"
"`Own computer`",7.05624120806604e-18,"Low pro-sociality (parent)"
"`Other internet`",6.70390930459952e-18,"Low pro-sociality (parent)"
"`Social media`",2.65021353545893e-17,"Low pro-sociality (parent)"
"`Electronic games`",3.95113316867207e-16,"Low pro-sociality (parent)"
"TV",6.55099475828498e-17,"Low pro-sociality (parent)"
"(Intercept)",6.85802481887758e-18,"Low pro-sociality (parent)"
