"llik","modname","yvar"
-1087.7219323129,"minIncome","Low pro-sociality (parent)"
-1092.69668658832,"minSiblings","Low pro-sociality (parent)"
-1091.96070074175,"minDistress","Low pro-sociality (parent)"
-1087.67538096168,"minTime","Low pro-sociality (parent)"
-1088.81588814231,"minIllness","Low pro-sociality (parent)"
-1087.98520630822,"minEmployed","Low pro-sociality (parent)"
-1088.05510208789,"minScore","Low pro-sociality (parent)"
-1088.25723398345,"minFather","Low pro-sociality (parent)"
-1108.02827068885,"minCloseness","Low pro-sociality (parent)"
-1087.61564938349,"minEthnicity","Low pro-sociality (parent)"
-1092.05722196771,"minMotivation","Low pro-sociality (parent)"
-1087.77927999718,"minBMI","Low pro-sociality (parent)"
-1087.44144983481,"minAge","Low pro-sociality (parent)"
-1090.36605354097,"minMale","Low pro-sociality (parent)"
-1087.49914498977,"min`Own computer`","Low pro-sociality (parent)"
-1087.44792332137,"min`Other internet`","Low pro-sociality (parent)"
-1088.822457796,"min`Social media`","Low pro-sociality (parent)"
-1091.52440508874,"min`Electronic games`","Low pro-sociality (parent)"
-1089.72743448944,"minTV","Low pro-sociality (parent)"
-1087.47065195984,"min(Intercept)","Low pro-sociality (parent)"
