"var","evalue","yvar"
"BMI",2.40228741110433e-05,"Low self-esteem (adolescent)"
"Year2015",3.87050058060914e-33,"Low self-esteem (adolescent)"
"Year2013",1.46394779130383e-35,"Low self-esteem (adolescent)"
"Year2011",1.18979986839363e-35,"Low self-esteem (adolescent)"
"Year2009",9.90887386905453e-35,"Low self-esteem (adolescent)"
"Grade",4.39448631637623e-27,"Low self-esteem (adolescent)"
"Sex",1.00546665431427e+247,"Low self-esteem (adolescent)"
"Age",7.23706002682898e-34,"Low self-esteem (adolescent)"
"`Aged 13`",1.14856852146037e-35,"Low self-esteem (adolescent)"
"`Aged 12`",3.41163236683693e-32,"Low self-esteem (adolescent)"
"Race",4.36441239866925e-35,"Low self-esteem (adolescent)"
"`Electronic Device Use`",4.11950768002441e+36,"Low self-esteem (adolescent)"
"`TV Use`high",1.2328967823614e-35,"Low self-esteem (adolescent)"
"`TV Use`medium",1.57424711731585e-18,"Low self-esteem (adolescent)"
"(Intercept)",1.1956537296267e-12,"Low self-esteem (adolescent)"
