"llik","modname","yvar"
-28144.4816700284,"minBMI","Low self-esteem (adolescent)"
-28080.4862499008,"minYear2015","Low self-esteem (adolescent)"
-28074.9088326204,"minYear2013","Low self-esteem (adolescent)"
-28074.7014809823,"minYear2011","Low self-esteem (adolescent)"
-28076.8211265732,"minYear2009","Low self-esteem (adolescent)"
-28094.4287272563,"minGrade","Low self-esteem (adolescent)"
-28723.8621438579,"minSex","Low self-esteem (adolescent)"
-28078.8094960104,"minAge","Low self-esteem (adolescent)"
-28074.6662122702,"min`Aged 13`","Low self-esteem (adolescent)"
-28082.6626420228,"min`Aged 12`","Low self-esteem (adolescent)"
-28076.0011794308,"minRace","Low self-esteem (adolescent)"
-28239.4269711308,"min`Electronic Device Use`","Low self-esteem (adolescent)"
-28074.7370623752,"min`TV Use`high","Low self-esteem (adolescent)"
-28114.1254195853,"min`TV Use`medium","Low self-esteem (adolescent)"
-28127.6658460959,"min(Intercept)","Low self-esteem (adolescent)"
