"hyp","evalue","BHcrit","rejected","outcome","var"
"MotivationXLow self-esteem (adolescent)",2.32913357602381e+43,TRUE,TRUE,"Low self-esteem (adolescent)","Motivation"
"MotivationXDepressed (adolescent)",3.64803316073672e+32,TRUE,TRUE,"Depressed (adolescent)","Motivation"
"DistressXHigh emotional problems (parent)",2034121865951616,TRUE,TRUE,"High emotional problems (parent)","Distress"
"MaleXLow self-esteem (adolescent)",285228056.41443,TRUE,TRUE,"Low self-esteem (adolescent)","Male"
"ClosenessXHigh conduct problems (parent)",652604.967262824,TRUE,TRUE,"High conduct problems (parent)","Closeness"
"DistressXHigh peer problems (parent)",3888.30313392581,TRUE,TRUE,"High peer problems (parent)","Distress"
"IllnessXHigh total difficulties (parent)",3419.04726445704,TRUE,TRUE,"High total difficulties (parent)","Illness"
"DistressXHigh total difficulties (parent)",70.0131943348651,FALSE,FALSE,"High total difficulties (parent)","Distress"
"ClosenessXLow self-esteem (adolescent)",7.20656033878928,FALSE,FALSE,"Low self-esteem (adolescent)","Closeness"
"MaleXHigh hyperactivity/inattention (parent)",6.51398628527191,FALSE,FALSE,"High hyperactivity/inattention (parent)","Male"
"IllnessXHigh hyperactivity/inattention (parent)",0.186823918507803,FALSE,FALSE,"High hyperactivity/inattention (parent)","Illness"
"IllnessXHigh emotional problems (parent)",0.0936000531291535,FALSE,FALSE,"High emotional problems (parent)","Illness"
"IllnessXHigh peer problems (parent)",0.0312957977387624,FALSE,FALSE,"High peer problems (parent)","Illness"
"MotivationXHigh hyperactivity/inattention (parent)",0.00519227767700522,FALSE,FALSE,"High hyperactivity/inattention (parent)","Motivation"
"MaleXDepressed (adolescent)",0.00488449595008134,FALSE,FALSE,"Depressed (adolescent)","Male"
"`Other internet`XLow self-esteem (adolescent)",0.00244626670977187,FALSE,FALSE,"Low self-esteem (adolescent)","`Other internet`"
"BMIXLow self-esteem (adolescent)",0.00158191415083657,FALSE,FALSE,"Low self-esteem (adolescent)","BMI"
"BMIXHigh peer problems (parent)",0.00154593688378303,FALSE,FALSE,"High peer problems (parent)","BMI"
"MotivationXHigh total difficulties (parent)",0.00135086462032146,FALSE,FALSE,"High total difficulties (parent)","Motivation"
"DistressXHigh hyperactivity/inattention (parent)",0.000173383868753604,FALSE,FALSE,"High hyperactivity/inattention (parent)","Distress"
"ClosenessXHigh total difficulties (parent)",0.000115352679073181,FALSE,FALSE,"High total difficulties (parent)","Closeness"
"ClosenessXDepressed (adolescent)",1.18521823777001e-05,FALSE,FALSE,"Depressed (adolescent)","Closeness"
"MaleXHigh emotional problems (parent)",3.76605460998101e-06,FALSE,FALSE,"High emotional problems (parent)","Male"
"`Social media`XLow self-esteem (adolescent)",5.28553598989238e-07,FALSE,FALSE,"Low self-esteem (adolescent)","`Social media`"
"DistressXHigh conduct problems (parent)",4.39825811955366e-07,FALSE,FALSE,"High conduct problems (parent)","Distress"
"ClosenessXHigh hyperactivity/inattention (parent)",3.02858013017404e-07,FALSE,FALSE,"High hyperactivity/inattention (parent)","Closeness"
"ScoreXHigh peer problems (parent)",2.54783187150703e-07,FALSE,FALSE,"High peer problems (parent)","Score"
"IncomeXHigh hyperactivity/inattention (parent)",3.67708948934359e-08,FALSE,FALSE,"High hyperactivity/inattention (parent)","Income"
"IllnessXLow self-esteem (adolescent)",3.13243066443932e-08,FALSE,FALSE,"Low self-esteem (adolescent)","Illness"
"IncomeXHigh peer problems (parent)",1.64385123522662e-08,FALSE,FALSE,"High peer problems (parent)","Income"
"SiblingsXLow self-esteem (adolescent)",1.27876842062792e-08,FALSE,FALSE,"Low self-esteem (adolescent)","Siblings"
"`Electronic games`XHigh peer problems (parent)",1.00902077026489e-08,FALSE,FALSE,"High peer problems (parent)","`Electronic games`"
"ClosenessXHigh peer problems (parent)",8.56662074269241e-09,FALSE,FALSE,"High peer problems (parent)","Closeness"
