"var","evalue","yvar"
"Employed",94.4519390975943,"Depressed (adolescent)"
"Time",92.0012179890712,"Depressed (adolescent)"
"Father",82.6646068633177,"Depressed (adolescent)"
"TV",65.3715258477525,"Depressed (adolescent)"
"`Own computer`",41.202842737006,"Depressed (adolescent)"
"Income",36.3837113671639,"Depressed (adolescent)"
"Age",30.1243954359258,"Depressed (adolescent)"
"Siblings",17.879637533531,"Depressed (adolescent)"
"Ethnicity",14.181807611482,"Depressed (adolescent)"
"`Electronic games`",10.3367481017835,"Depressed (adolescent)"
"Distress",6.14043324837166,"Depressed (adolescent)"
"Score",3.59786560485112,"Depressed (adolescent)"
"(Intercept)",1.81761723614133,"Depressed (adolescent)"
"`Other internet`",0.000773406844018843,"Depressed (adolescent)"
"`Social media`",0.000151217334523061,"Depressed (adolescent)"
"BMI",0.000128476420014501,"Depressed (adolescent)"
"Illness",6.01364496565047e-05,"Depressed (adolescent)"
"Male",1.19011470406321e-38,"Depressed (adolescent)"
"Closeness",2.71102008661902e-39,"Depressed (adolescent)"
"Motivation",3.96949527558457e-93,"Depressed (adolescent)"
