"llik","modname","yvar"
-1391.64401929114,"minIncome","Depressed (adolescent)"
-1389.90772491059,"minSiblings","Depressed (adolescent)"
-1390.98854736601,"minDistress","Depressed (adolescent)"
-1390.29589902102,"minTime","Depressed (adolescent)"
-1396.26788084164,"minIllness","Depressed (adolescent)"
-1390.09105688759,"minEmployed","Depressed (adolescent)"
-1390.4308452039,"minScore","Depressed (adolescent)"
-1391.83391424011,"minFather","Depressed (adolescent)"
-1423.27734154195,"minCloseness","Depressed (adolescent)"
-1390.75361929342,"minEthnicity","Depressed (adolescent)"
-1509.59725122049,"minMotivation","Depressed (adolescent)"
-1395.95035140603,"minBMI","Depressed (adolescent)"
-1390.62245821884,"minAge","Depressed (adolescent)"
-1429.29865090039,"minMale","Depressed (adolescent)"
-1389.96387142269,"min`Own computer`","Depressed (adolescent)"
-1395.8097796928,"min`Other internet`","Depressed (adolescent)"
-1396.86200939078,"min`Social media`","Depressed (adolescent)"
-1390.0556577324,"min`Electronic games`","Depressed (adolescent)"
-1390.45626571876,"minTV","Depressed (adolescent)"
-1390.60120073044,"min(Intercept)","Depressed (adolescent)"
