"var","evalue","yvar"
"Income",3.30864831624773e-19,"High conduct problems (parent)"
"Siblings",7.89274892731622e-19,"High conduct problems (parent)"
"Distress",4.39825811955366e-07,"High conduct problems (parent)"
"Time",2.65169484493537e-20,"High conduct problems (parent)"
"Illness",2.29520492912722e-15,"High conduct problems (parent)"
"Employed",1.52295495306464e-19,"High conduct problems (parent)"
"Score",3.34572043485777e-15,"High conduct problems (parent)"
"Father",1.96533821101038e-20,"High conduct problems (parent)"
"Closeness",652604.967262824,"High conduct problems (parent)"
"Ethnicity",1.08885872264046e-19,"High conduct problems (parent)"
"Motivation",2.57667361377575e-15,"High conduct problems (parent)"
"BMI",3.45296580639212e-19,"High conduct problems (parent)"
"Age",3.56792517259225e-19,"High conduct problems (parent)"
"Male",3.41343498097218e-20,"High conduct problems (parent)"
"`Own computer`",5.4186627901376e-20,"High conduct problems (parent)"
"`Other internet`",6.22352447003714e-19,"High conduct problems (parent)"
"`Social media`",2.30799343688478e-20,"High conduct problems (parent)"
"`Electronic games`",1.19074227509203e-19,"High conduct problems (parent)"
"TV",1.96042487707083e-20,"High conduct problems (parent)"
"(Intercept)",1.63841158577202e-17,"High conduct problems (parent)"
