"hyp","evalue","BHcrit","rejected"
"ClosenessXHigh conduct problems (parent)",652604.967262824,TRUE,TRUE
"DistressXHigh conduct problems (parent)",4.39825811955366e-07,FALSE,FALSE
"ScoreXHigh conduct problems (parent)",3.34572043485777e-15,FALSE,FALSE
"MotivationXHigh conduct problems (parent)",2.57667361377575e-15,FALSE,FALSE
"IllnessXHigh conduct problems (parent)",2.29520492912722e-15,FALSE,FALSE
"SiblingsXHigh conduct problems (parent)",7.89274892731622e-19,FALSE,FALSE
"`Other internet`XHigh conduct problems (parent)",6.22352447003714e-19,FALSE,FALSE
"AgeXHigh conduct problems (parent)",3.56792517259225e-19,FALSE,FALSE
"BMIXHigh conduct problems (parent)",3.45296580639212e-19,FALSE,FALSE
"IncomeXHigh conduct problems (parent)",3.30864831624773e-19,FALSE,FALSE
"EmployedXHigh conduct problems (parent)",1.52295495306464e-19,FALSE,FALSE
"`Electronic games`XHigh conduct problems (parent)",1.19074227509203e-19,FALSE,FALSE
"EthnicityXHigh conduct problems (parent)",1.08885872264046e-19,FALSE,FALSE
"`Own computer`XHigh conduct problems (parent)",5.4186627901376e-20,FALSE,FALSE
"MaleXHigh conduct problems (parent)",3.41343498097218e-20,FALSE,FALSE
"TimeXHigh conduct problems (parent)",2.65169484493537e-20,FALSE,FALSE
"`Social media`XHigh conduct problems (parent)",2.30799343688478e-20,FALSE,FALSE
"FatherXHigh conduct problems (parent)",1.96533821101038e-20,FALSE,FALSE
"TVXHigh conduct problems (parent)",1.96042487707083e-20,FALSE,FALSE
