"llik","modname","yvar"
-1620.94634058584,"minIncome","High conduct problems (parent)"
-1621.8157453242,"minSiblings","High conduct problems (parent)"
-1648.86203054007,"minDistress","High conduct problems (parent)"
-1618.42241475022,"minTime","High conduct problems (parent)"
-1629.79096334876,"minIllness","High conduct problems (parent)"
-1620.17045333923,"minEmployed","High conduct problems (parent)"
-1630.16782326253,"minScore","High conduct problems (parent)"
-1618.1228800986,"minFather","High conduct problems (parent)"
-1676.88764488502,"minCloseness","High conduct problems (parent)"
-1619.83493094778,"minEthnicity","High conduct problems (parent)"
-1629.90664048559,"minMotivation","High conduct problems (parent)"
-1620.9890343593,"minBMI","High conduct problems (parent)"
-1621.02178508621,"minAge","High conduct problems (parent)"
-1618.67493486061,"minMale","High conduct problems (parent)"
-1619.13706481785,"min`Own computer`","High conduct problems (parent)"
-1621.57813722485,"min`Other internet`","High conduct problems (parent)"
-1618.28359425553,"min`Social media`","High conduct problems (parent)"
-1619.92437771677,"min`Electronic games`","High conduct problems (parent)"
-1618.12037697429,"minTV","High conduct problems (parent)"
-1624.84869825674,"min(Intercept)","High conduct problems (parent)"
