"var","evalue","yvar"
"Ethnicity",106.943573993511,"High total difficulties (parent)"
"`Other internet`",89.5822684663572,"High total difficulties (parent)"
"`Own computer`",88.2764303921427,"High total difficulties (parent)"
"Male",83.6836235964751,"High total difficulties (parent)"
"Siblings",50.4216985325298,"High total difficulties (parent)"
"TV",21.1076811344014,"High total difficulties (parent)"
"Age",17.3402738853772,"High total difficulties (parent)"
"Employed",10.6430018947572,"High total difficulties (parent)"
"Father",9.76984482659483,"High total difficulties (parent)"
"Time",5.54605438496366,"High total difficulties (parent)"
"(Intercept)",0.190444080532582,"High total difficulties (parent)"
"`Social media`",0.133195727735579,"High total difficulties (parent)"
"Income",0.103549498812147,"High total difficulties (parent)"
"`Electronic games`",0.016576117821235,"High total difficulties (parent)"
"BMI",2.9439717901979e-05,"High total difficulties (parent)"
"Score",1.61090288659179e-06,"High total difficulties (parent)"
"Closeness",1.28518856464464e-17,"High total difficulties (parent)"
"Motivation",1.10887424488383e-21,"High total difficulties (parent)"
"Illness",7.73964476478149e-32,"High total difficulties (parent)"
"Distress",1.14255274175521e-40,"High total difficulties (parent)"
