"modelid","ic","llik","modname","yvar"
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20",7185.74412278482,-3592.87206139241,"minEmployed","High emotional problems (parent)"
"1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20",7185.92614432397,-3592.96307216199,"minEthnicity","High emotional problems (parent)"
"1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",7186.06887885155,-3593.03443942578,"minTV","High emotional problems (parent)"
"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",7186.4054901849,-3593.20274509245,"min(Intercept)","High emotional problems (parent)"
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20",7186.55344642518,-3593.27672321259,"minTime","High emotional problems (parent)"
"1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",7186.6188472751,-3593.30942363755,"min`Other internet`","High emotional problems (parent)"
"1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20",7186.88332494123,-3593.44166247061,"min`Own computer`","High emotional problems (parent)"
"1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20",7186.91238450227,-3593.45619225113,"minAge","High emotional problems (parent)"
"1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",7187.8927894913,-3593.94639474565,"min`Electronic games`","High emotional problems (parent)"
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20",7187.92380450389,-3593.96190225195,"minSiblings","High emotional problems (parent)"
"1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20",7188.791477337,-3594.3957386685,"minFather","High emotional problems (parent)"
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7190.4058487006,-3595.2029243503,"minIncome","High emotional problems (parent)"
"1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20",7192.64109059665,-3596.32054529832,"minBMI","High emotional problems (parent)"
"1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",7194.1998595657,-3597.09992978285,"min`Social media`","High emotional problems (parent)"
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",7194.55672680933,-3597.27836340467,"full","High emotional problems (parent)"
"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20",7196.98322661574,-3598.49161330787,"minCloseness","High emotional problems (parent)"
"1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20",7212.32619921197,-3606.16309960598,"minScore","High emotional problems (parent)"
"1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20",7250.28874370345,-3625.14437185172,"minMotivation","High emotional problems (parent)"
"1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20",7277.25269346935,-3638.62634673467,"minMale","High emotional problems (parent)"
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20",7338.68595333414,-3669.34297666707,"minIllness","High emotional problems (parent)"
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20",7420.77843652004,-3710.38921826002,"minDistress","High emotional problems (parent)"
