"var","evalue","yvar"
"`Social media`",93.5143576151972,"High hyperactivity/inattention (parent)"
"BMI",81.2668560905319,"High hyperactivity/inattention (parent)"
"`Own computer`",69.6928529674671,"High hyperactivity/inattention (parent)"
"Employed",57.8734449863435,"High hyperactivity/inattention (parent)"
"`Other internet`",43.0757461050943,"High hyperactivity/inattention (parent)"
"`Electronic games`",26.3391219342144,"High hyperactivity/inattention (parent)"
"Siblings",21.389505909396,"High hyperactivity/inattention (parent)"
"Father",19.3240469793423,"High hyperactivity/inattention (parent)"
"TV",19.0847005706106,"High hyperactivity/inattention (parent)"
"Ethnicity",6.90109155621116,"High hyperactivity/inattention (parent)"
"Age",6.06585099751251,"High hyperactivity/inattention (parent)"
"Time",1.95597386968779,"High hyperactivity/inattention (parent)"
"(Intercept)",0.593179975721295,"High hyperactivity/inattention (parent)"
"Score",0.0204152933388735,"High hyperactivity/inattention (parent)"
"Income",0.0151331889825701,"High hyperactivity/inattention (parent)"
"Closeness",1.59080854275137e-08,"High hyperactivity/inattention (parent)"
"Distress",3.08087339391051e-16,"High hyperactivity/inattention (parent)"
"Motivation",3.33170338258912e-19,"High hyperactivity/inattention (parent)"
"Illness",2.0271042017816e-19,"High hyperactivity/inattention (parent)"
"Male",7.4276630911747e-27,"High hyperactivity/inattention (parent)"
