"llik","modname","yvar"
-1346.80836673781,"minIncome","High hyperactivity/inattention (parent)"
-1338.11816101022,"minSiblings","High hyperactivity/inattention (parent)"
-1355.26692341509,"minDistress","High hyperactivity/inattention (parent)"
-1336.85134888882,"minTime","High hyperactivity/inattention (parent)"
-1362.24933722416,"minIllness","High hyperactivity/inattention (parent)"
-1337.13132913685,"minEmployed","High hyperactivity/inattention (parent)"
-1338.72386910054,"minScore","High hyperactivity/inattention (parent)"
-1337.51714192325,"minFather","High hyperactivity/inattention (parent)"
-1348.91692419697,"minCloseness","High hyperactivity/inattention (parent)"
-1339.25387030837,"minEthnicity","High hyperactivity/inattention (parent)"
-1358.66634312283,"minMotivation","High hyperactivity/inattention (parent)"
-1336.54511168292,"minBMI","High hyperactivity/inattention (parent)"
-1337.94791124008,"minAge","High hyperactivity/inattention (parent)"
-1365.80087754357,"minMale","High hyperactivity/inattention (parent)"
-1336.79999537231,"min`Own computer`","High hyperactivity/inattention (parent)"
-1336.76182175891,"min`Other internet`","High hyperactivity/inattention (parent)"
-1336.53584665521,"min`Social media`","High hyperactivity/inattention (parent)"
-1337.52926349443,"min`Electronic games`","High hyperactivity/inattention (parent)"
-1339.76703278294,"minTV","High hyperactivity/inattention (parent)"
-1340.03678677855,"min(Intercept)","High hyperactivity/inattention (parent)"
