"var","evalue","yvar"
"Income",1.64385123522662e-08,"High peer problems (parent)"
"Siblings",3.73296617633807e-09,"High peer problems (parent)"
"Distress",3888.30313392581,"High peer problems (parent)"
"Time",7.89306779678614e-11,"High peer problems (parent)"
"Illness",0.0312957977387624,"High peer problems (parent)"
"Employed",1.70656645192555e-10,"High peer problems (parent)"
"Score",2.54783187150703e-07,"High peer problems (parent)"
"Father",8.74961096182472e-11,"High peer problems (parent)"
"Closeness",8.56662074269241e-09,"High peer problems (parent)"
"Ethnicity",8.67385125627504e-11,"High peer problems (parent)"
"Motivation",1.09631187471533e-09,"High peer problems (parent)"
"BMI",0.00154593688378303,"High peer problems (parent)"
"Age",1.78173504863778e-10,"High peer problems (parent)"
"Male",1.17200759169516e-10,"High peer problems (parent)"
"`Own computer`",8.41822623530009e-11,"High peer problems (parent)"
"`Other internet`",1.59384284235935e-09,"High peer problems (parent)"
"`Social media`",3.79741039662832e-10,"High peer problems (parent)"
"`Electronic games`",1.00902077026489e-08,"High peer problems (parent)"
"TV",6.90567442969386e-11,"High peer problems (parent)"
"(Intercept)",1.43074276830222e-10,"High peer problems (parent)"
