"hyp","evalue","BHcrit","rejected"
"DistressXHigh peer problems (parent)",3888.30313392581,TRUE,TRUE
"IllnessXHigh peer problems (parent)",0.0312957977387624,FALSE,FALSE
"BMIXHigh peer problems (parent)",0.00154593688378303,FALSE,FALSE
"ScoreXHigh peer problems (parent)",2.54783187150703e-07,FALSE,FALSE
"IncomeXHigh peer problems (parent)",1.64385123522662e-08,FALSE,FALSE
"`Electronic games`XHigh peer problems (parent)",1.00902077026489e-08,FALSE,FALSE
"ClosenessXHigh peer problems (parent)",8.56662074269241e-09,FALSE,FALSE
"SiblingsXHigh peer problems (parent)",3.73296617633807e-09,FALSE,FALSE
"`Other internet`XHigh peer problems (parent)",1.59384284235935e-09,FALSE,FALSE
"MotivationXHigh peer problems (parent)",1.09631187471533e-09,FALSE,FALSE
"`Social media`XHigh peer problems (parent)",3.79741039662832e-10,FALSE,FALSE
"AgeXHigh peer problems (parent)",1.78173504863778e-10,FALSE,FALSE
"EmployedXHigh peer problems (parent)",1.70656645192555e-10,FALSE,FALSE
"MaleXHigh peer problems (parent)",1.17200759169516e-10,FALSE,FALSE
"FatherXHigh peer problems (parent)",8.74961096182472e-11,FALSE,FALSE
"EthnicityXHigh peer problems (parent)",8.67385125627504e-11,FALSE,FALSE
"`Own computer`XHigh peer problems (parent)",8.41822623530009e-11,FALSE,FALSE
"TimeXHigh peer problems (parent)",7.89306779678614e-11,FALSE,FALSE
"TVXHigh peer problems (parent)",6.90567442969386e-11,FALSE,FALSE
