"llik","modname","yvar"
-2098.46158488551,"minIncome","High peer problems (parent)"
-2096.97916112867,"minSiblings","High peer problems (parent)"
-2124.65095195553,"minDistress","High peer problems (parent)"
-2093.12277268368,"minTime","High peer problems (parent)"
-2112.92095237845,"minIllness","High peer problems (parent)"
-2093.89385632559,"minEmployed","High peer problems (parent)"
-2101.20237092653,"minScore","High peer problems (parent)"
-2093.22579704139,"minFather","High peer problems (parent)"
-2097.80983133194,"minCloseness","High peer problems (parent)"
-2093.21710070055,"minEthnicity","High peer problems (parent)"
-2095.75390969477,"minMotivation","High peer problems (parent)"
-2109.9130986713,"minBMI","High peer problems (parent)"
-2093.93696053248,"minAge","High peer problems (parent)"
-2093.51809106519,"minMale","High peer problems (parent)"
-2093.18718694868,"min`Own computer`","High peer problems (parent)"
-2096.12810597176,"min`Other internet`","High peer problems (parent)"
-2094.69369225636,"min`Social media`","High peer problems (parent)"
-2097.97352340865,"min`Electronic games`","High peer problems (parent)"
-2092.98913125826,"minTV","High peer problems (parent)"
-2093.71756662432,"min(Intercept)","High peer problems (parent)"
