"llik","modname","yvar"
-1112.21722331231,"minIncome","Low pro-sociality (parent)"
-1116.1903509552,"minSiblings","Low pro-sociality (parent)"
-1118.40355306484,"minDistress","Low pro-sociality (parent)"
-1112.238539236,"minTime","Low pro-sociality (parent)"
-1115.60606676387,"minIllness","Low pro-sociality (parent)"
-1112.06154244513,"minEmployed","Low pro-sociality (parent)"
-1112.05578313806,"minScore","Low pro-sociality (parent)"
-1112.0647217475,"minFather","Low pro-sociality (parent)"
-1133.3608899749,"minCloseness","Low pro-sociality (parent)"
-1112.24013688815,"minEthnicity","Low pro-sociality (parent)"
-1127.56763041299,"minMotivation","Low pro-sociality (parent)"
-1112.055892087,"minBMI","Low pro-sociality (parent)"
-1113.21807965872,"minAge","Low pro-sociality (parent)"
-1123.07590876922,"minMale","Low pro-sociality (parent)"
-1113.7607430071,"min`Own computer`","Low pro-sociality (parent)"
-1113.25773486697,"min`Other internet`","Low pro-sociality (parent)"
-1112.05514111938,"min`Social media`","Low pro-sociality (parent)"
-1113.7469695668,"min`Electronic games`","Low pro-sociality (parent)"
-1112.15598138389,"minTV","Low pro-sociality (parent)"
-1113.57534363763,"min(Intercept)","Low pro-sociality (parent)"
