"hyp","evalue","BHcrit","rejected","outcome","var"
"MotivationXDepressed (adolescent)",1.49609242855312e+40,TRUE,TRUE,"Depressed (adolescent)","Motivation"
"MotivationXLow self-esteem (adolescent)",7.08389626135461e+29,TRUE,TRUE,"Low self-esteem (adolescent)","Motivation"
"MaleXDepressed (adolescent)",2047529603646714,TRUE,TRUE,"Depressed (adolescent)","Male"
"DistressXHigh emotional problems (parent)",6139711.20258802,TRUE,TRUE,"High emotional problems (parent)","Distress"
"MaleXLow self-esteem (adolescent)",4819385.51743252,TRUE,TRUE,"Low self-esteem (adolescent)","Male"
"ClosenessXDepressed (adolescent)",2933621.55169588,TRUE,TRUE,"Depressed (adolescent)","Closeness"
"DistressXHigh peer problems (parent)",4739.61986220889,TRUE,TRUE,"High peer problems (parent)","Distress"
"ClosenessXHigh conduct problems (parent)",2994.59062394178,TRUE,TRUE,"High conduct problems (parent)","Closeness"
"ClosenessXLow self-esteem (adolescent)",2661.97243670061,TRUE,TRUE,"Low self-esteem (adolescent)","Closeness"
"DistressXHigh total difficulties (parent)",706.498678103172,TRUE,TRUE,"High total difficulties (parent)","Distress"
"MaleXHigh hyperactivity/inattention (parent)",88.3716065429172,FALSE,FALSE,"High hyperactivity/inattention (parent)","Male"
"IllnessXHigh total difficulties (parent)",75.6236965206064,FALSE,FALSE,"High total difficulties (parent)","Illness"
"IllnessXHigh emotional problems (parent)",0.0788334920583566,FALSE,FALSE,"High emotional problems (parent)","Illness"
"MotivationXHigh total difficulties (parent)",0.0146634314125755,FALSE,FALSE,"High total difficulties (parent)","Motivation"
"IllnessXHigh peer problems (parent)",0.0129070972671259,FALSE,FALSE,"High peer problems (parent)","Illness"
"MotivationXHigh hyperactivity/inattention (parent)",0.0123244689071223,FALSE,FALSE,"High hyperactivity/inattention (parent)","Motivation"
"ScoreXHigh peer problems (parent)",0.00622878002961468,FALSE,FALSE,"High peer problems (parent)","Score"
"IllnessXHigh hyperactivity/inattention (parent)",0.00357496059375834,FALSE,FALSE,"High hyperactivity/inattention (parent)","Illness"
"DistressXHigh hyperactivity/inattention (parent)",7.55584975114402e-05,FALSE,FALSE,"High hyperactivity/inattention (parent)","Distress"
"MotivationXHigh peer problems (parent)",5.65563718067981e-05,FALSE,FALSE,"High peer problems (parent)","Motivation"
"BMIXHigh peer problems (parent)",5.15491297450096e-05,FALSE,FALSE,"High peer problems (parent)","BMI"
"ClosenessXHigh hyperactivity/inattention (parent)",1.22447011136602e-05,FALSE,FALSE,"High hyperactivity/inattention (parent)","Closeness"
"MaleXHigh emotional problems (parent)",6.40639325249198e-06,FALSE,FALSE,"High emotional problems (parent)","Male"
"ClosenessXHigh peer problems (parent)",2.74145167537284e-06,FALSE,FALSE,"High peer problems (parent)","Closeness"
"IncomeXHigh peer problems (parent)",2.71036516647185e-06,FALSE,FALSE,"High peer problems (parent)","Income"
"`Electronic games`XHigh peer problems (parent)",1.4230309379226e-06,FALSE,FALSE,"High peer problems (parent)","`Electronic games`"
"SiblingsXHigh peer problems (parent)",1.39959699860763e-06,FALSE,FALSE,"High peer problems (parent)","Siblings"
"`Social media`XHigh peer problems (parent)",1.10166357047045e-06,FALSE,FALSE,"High peer problems (parent)","`Social media`"
"`Other internet`XHigh peer problems (parent)",7.94869643375156e-07,FALSE,FALSE,"High peer problems (parent)","`Other internet`"
"BMIXLow self-esteem (adolescent)",2.87082420382581e-07,FALSE,FALSE,"Low self-esteem (adolescent)","BMI"
"TimeXHigh peer problems (parent)",2.80810743643516e-07,FALSE,FALSE,"High peer problems (parent)","Time"
