"hyp","evalue","rejected","outcome","var"
"TVXDepressed (adolescent)",1.43402041187674,"FALSE","Depressed (adolescent)","TV"
"Electronic_gamesXDepressed (adolescent)",1.97895198437205,"FALSE","Depressed (adolescent)","Electronic_games"
"Social_mediaXDepressed (adolescent)",1.99999318391529,"FALSE","Depressed (adolescent)","Social_media"
"Other_internetXDepressed (adolescent)",1.99995614164458,"FALSE","Depressed (adolescent)","Other_internet"
"Own_computerXDepressed (adolescent)",1.66507698782174,"FALSE","Depressed (adolescent)","Own_computer"
"TVXLow self-esteem (adolescent)",1.89224989068499,"FALSE","Low self-esteem (adolescent)","TV"
"Electronic_gamesXLow self-esteem (adolescent)",0.606018841701606,"FALSE","Low self-esteem (adolescent)","Electronic_games"
"Social_mediaXLow self-esteem (adolescent)",1.99703425956985,"FALSE","Low self-esteem (adolescent)","Social_media"
"Other_internetXLow self-esteem (adolescent)",1.99999979575004,"FALSE","Low self-esteem (adolescent)","Other_internet"
"Own_computerXLow self-esteem (adolescent)",1.78630891736415,"FALSE","Low self-esteem (adolescent)","Own_computer"
"TVXHigh total difficulties (parent)",1.79271098735781,"FALSE","High total difficulties (parent)","TV"
"Electronic_gamesXHigh total difficulties (parent)",1.99908632316396,"FALSE","High total difficulties (parent)","Electronic_games"
"Social_mediaXHigh total difficulties (parent)",1.99221210189898,"FALSE","High total difficulties (parent)","Social_media"
"Other_internetXHigh total difficulties (parent)",0.510440559221936,"FALSE","High total difficulties (parent)","Other_internet"
"Own_computerXHigh total difficulties (parent)",0.0756599854833426,"FALSE","High total difficulties (parent)","Own_computer"
"TVXHigh emotional problems (parent)",0.279029387821886,"FALSE","High emotional problems (parent)","TV"
"Electronic_gamesXHigh emotional problems (parent)",0.977734127288869,"FALSE","High emotional problems (parent)","Electronic_games"
"Social_mediaXHigh emotional problems (parent)",1.43578545024832,"FALSE","High emotional problems (parent)","Social_media"
"Other_internetXHigh emotional problems (parent)",1.97560866598223,"FALSE","High emotional problems (parent)","Other_internet"
"Own_computerXHigh emotional problems (parent)",1.67367551791722,"FALSE","High emotional problems (parent)","Own_computer"
"TVXHigh conduct problems (parent)",1.95571353474212,"FALSE","High conduct problems (parent)","TV"
"Electronic_gamesXHigh conduct problems (parent)",1.99367628546473,"FALSE","High conduct problems (parent)","Electronic_games"
"Social_mediaXHigh conduct problems (parent)",0.355484151719965,"FALSE","High conduct problems (parent)","Social_media"
"Other_internetXHigh conduct problems (parent)",1.70589295660979,"FALSE","High conduct problems (parent)","Other_internet"
"Own_computerXHigh conduct problems (parent)",1.89842448553565,"FALSE","High conduct problems (parent)","Own_computer"
"TVXHigh hyperactivity/inattention (parent)",1.25434389211781,"FALSE","High hyperactivity/inattention (parent)","TV"
"Electronic_gamesXHigh hyperactivity/inattention (parent)",1.71929184989562,"FALSE","High hyperactivity/inattention (parent)","Electronic_games"
"Social_mediaXHigh hyperactivity/inattention (parent)",1.36698759464471,"FALSE","High hyperactivity/inattention (parent)","Social_media"
"Other_internetXHigh hyperactivity/inattention (parent)",1.38302490770845,"FALSE","High hyperactivity/inattention (parent)","Other_internet"
"Own_computerXHigh hyperactivity/inattention (parent)",1.44835826090051,"FALSE","High hyperactivity/inattention (parent)","Own_computer"
"TVXHigh peer problems (parent)",1.64675025697175,"FALSE","High peer problems (parent)","TV"
"Electronic_gamesXHigh peer problems (parent)",1.96550657513696,"FALSE","High peer problems (parent)","Electronic_games"
"Social_mediaXHigh peer problems (parent)",1.990152754356,"FALSE","High peer problems (parent)","Social_media"
"Other_internetXHigh peer problems (parent)",1.99998007757576,"FALSE","High peer problems (parent)","Other_internet"
"Own_computerXHigh peer problems (parent)",0.260434995178416,"FALSE","High peer problems (parent)","Own_computer"
"TVXLow pro-sociality (parent)",0.965841321478127,"FALSE","Low pro-sociality (parent)","TV"
"Electronic_gamesXLow pro-sociality (parent)",1.99943176753774,"FALSE","Low pro-sociality (parent)","Electronic_games"
"Social_mediaXLow pro-sociality (parent)",1.73030711845203,"FALSE","Low pro-sociality (parent)","Social_media"
"Other_internetXLow pro-sociality (parent)",1.30955387262204,"FALSE","Low pro-sociality (parent)","Other_internet"
"Own_computerXLow pro-sociality (parent)",1.81205640959539,"FALSE","Low pro-sociality (parent)","Own_computer"
