"hyp","evalue","BHcrit","rejected","outcome","var"
"Other_internetXLow self-esteem (adolescent)",3128.20495769706,TRUE,TRUE,"Low self-esteem (adolescent)","Other_internet"
"Social_mediaXDepressed (adolescent)",540.685871381897,TRUE,TRUE,"Depressed (adolescent)","Social_media"
"Other_internetXHigh peer problems (parent)",315.842846168891,TRUE,TRUE,"High peer problems (parent)","Other_internet"
"Other_internetXDepressed (adolescent)",212.544714466164,TRUE,TRUE,"Depressed (adolescent)","Other_internet"
"Electronic_gamesXLow pro-sociality (parent)",58.3269439442623,FALSE,FALSE,"Low pro-sociality (parent)","Electronic_games"
"Electronic_gamesXHigh total difficulties (parent)",45.7862988445771,FALSE,FALSE,"High total difficulties (parent)","Electronic_games"
"Social_mediaXLow self-esteem (adolescent)",24.9685935474101,FALSE,FALSE,"Low self-esteem (adolescent)","Social_media"
"Electronic_gamesXHigh conduct problems (parent)",16.7839762387318,FALSE,FALSE,"High conduct problems (parent)","Electronic_games"
"Social_mediaXHigh total difficulties (parent)",15.0252519999616,FALSE,FALSE,"High total difficulties (parent)","Social_media"
"Social_mediaXHigh peer problems (parent)",13.2514026971289,FALSE,FALSE,"High peer problems (parent)","Social_media"
"Electronic_gamesXDepressed (adolescent)",8.7478630502742,FALSE,FALSE,"Depressed (adolescent)","Electronic_games"
"Other_internetXHigh emotional problems (parent)",8.05518278092977,FALSE,FALSE,"High emotional problems (parent)","Other_internet"
"Electronic_gamesXHigh peer problems (parent)",6.61459551966193,FALSE,FALSE,"High peer problems (parent)","Electronic_games"
"TVXHigh conduct problems (parent)",5.72015807223878,FALSE,FALSE,"High conduct problems (parent)","TV"
"Own_computerXHigh conduct problems (parent)",3.4373172746262,FALSE,FALSE,"High conduct problems (parent)","Own_computer"
"TVXLow self-esteem (adolescent)",3.30830199588325,FALSE,FALSE,"Low self-esteem (adolescent)","TV"
"Own_computerXLow pro-sociality (parent)",2.26212980470327,FALSE,FALSE,"Low pro-sociality (parent)","Own_computer"
"TVXHigh total difficulties (parent)",2.10618169740085,FALSE,FALSE,"High total difficulties (parent)","TV"
"Own_computerXLow self-esteem (adolescent)",2.05929810822268,FALSE,FALSE,"Low self-esteem (adolescent)","Own_computer"
"Social_mediaXLow pro-sociality (parent)",1.72320449997554,FALSE,FALSE,"Low pro-sociality (parent)","Social_media"
"Electronic_gamesXHigh hyperactivity/inattention (parent)",1.66923915421183,FALSE,FALSE,"High hyperactivity/inattention (parent)","Electronic_games"
"Other_internetXHigh conduct problems (parent)",1.60772797002623,FALSE,FALSE,"High conduct problems (parent)","Other_internet"
"Own_computerXHigh emotional problems (parent)",1.47565526544489,FALSE,FALSE,"High emotional problems (parent)","Own_computer"
"Own_computerXDepressed (adolescent)",1.44366969849519,FALSE,FALSE,"Depressed (adolescent)","Own_computer"
"TVXHigh peer problems (parent)",1.37943623295489,FALSE,FALSE,"High peer problems (parent)","TV"
"Own_computerXHigh hyperactivity/inattention (parent)",0.904085467341169,FALSE,FALSE,"High hyperactivity/inattention (parent)","Own_computer"
"Social_mediaXHigh emotional problems (parent)",0.882750870791634,FALSE,FALSE,"High emotional problems (parent)","Social_media"
"TVXDepressed (adolescent)",0.879812847506497,FALSE,FALSE,"Depressed (adolescent)","TV"
"Other_internetXHigh hyperactivity/inattention (parent)",0.800450484496072,FALSE,FALSE,"High hyperactivity/inattention (parent)","Other_internet"
"Social_mediaXHigh hyperactivity/inattention (parent)",0.777497044448112,FALSE,FALSE,"High hyperactivity/inattention (parent)","Social_media"
"Other_internetXLow pro-sociality (parent)",0.701962938640262,FALSE,FALSE,"Low pro-sociality (parent)","Other_internet"
"TVXHigh hyperactivity/inattention (parent)",0.637742834658294,FALSE,FALSE,"High hyperactivity/inattention (parent)","TV"
"Electronic_gamesXHigh emotional problems (parent)",0.398727348755707,FALSE,FALSE,"High emotional problems (parent)","Electronic_games"
"TVXLow pro-sociality (parent)",0.390661422788174,FALSE,FALSE,"Low pro-sociality (parent)","TV"
"Electronic_gamesXLow self-esteem (adolescent)",0.197806170423743,FALSE,FALSE,"Low self-esteem (adolescent)","Electronic_games"
"Other_internetXHigh total difficulties (parent)",0.158740211997842,FALSE,FALSE,"High total difficulties (parent)","Other_internet"
"Social_mediaXHigh conduct problems (parent)",0.102797990966219,FALSE,FALSE,"High conduct problems (parent)","Social_media"
"TVXHigh emotional problems (parent)",0.0780236055035251,FALSE,FALSE,"High emotional problems (parent)","TV"
"Own_computerXHigh peer problems (parent)",0.0722465725515404,FALSE,FALSE,"High peer problems (parent)","Own_computer"
"Own_computerXHigh total difficulties (parent)",0.0194691601548864,FALSE,FALSE,"High total difficulties (parent)","Own_computer"
