"hyp","evalue","BHcrit","rejected","outcome","var"
"Other_internetXLow self-esteem (adolescent)",37789.7202804583,TRUE,TRUE,"Low self-esteem (adolescent)","Other_internet"
"Social_mediaXDepressed (adolescent)",1851.25708330132,TRUE,TRUE,"Depressed (adolescent)","Social_media"
"Other_internetXHigh peer problems (parent)",756.779082959344,TRUE,TRUE,"High peer problems (parent)","Other_internet"
"Other_internetXDepressed (adolescent)",396.144212341128,TRUE,TRUE,"Depressed (adolescent)","Other_internet"
"Electronic_gamesXLow pro-sociality (parent)",52.6428260728405,FALSE,FALSE,"Low pro-sociality (parent)","Electronic_games"
"Electronic_gamesXHigh total difficulties (parent)",36.8573032789547,FALSE,FALSE,"High total difficulties (parent)","Electronic_games"
"Social_mediaXLow self-esteem (adolescent)",15.7168390394684,FALSE,FALSE,"Low self-esteem (adolescent)","Social_media"
"Electronic_gamesXHigh conduct problems (parent)",9.340018611404,FALSE,FALSE,"High conduct problems (parent)","Electronic_games"
"Social_mediaXHigh total difficulties (parent)",8.12956461019858,FALSE,FALSE,"High total difficulties (parent)","Social_media"
"Social_mediaXHigh peer problems (parent)",6.96954617247142,FALSE,FALSE,"High peer problems (parent)","Social_media"
"Electronic_gamesXDepressed (adolescent)",4.31377219522304,FALSE,FALSE,"Depressed (adolescent)","Electronic_games"
"Other_internetXHigh emotional problems (parent)",3.94410247163533,FALSE,FALSE,"High emotional problems (parent)","Other_internet"
"Electronic_gamesXHigh peer problems (parent)",3.21036938784174,FALSE,FALSE,"High peer problems (parent)","Electronic_games"
"TVXHigh conduct problems (parent)",2.77936709325974,FALSE,FALSE,"High conduct problems (parent)","TV"
"Own_computerXHigh conduct problems (parent)",1.76891028019054,FALSE,FALSE,"High conduct problems (parent)","Own_computer"
"TVXLow self-esteem (adolescent)",1.71578593785309,FALSE,FALSE,"Low self-esteem (adolescent)","TV"
"Own_computerXLow pro-sociality (parent)",1.30125352187344,FALSE,FALSE,"Low pro-sociality (parent)","Own_computer"
"TVXHigh total difficulties (parent)",1.24195535935705,FALSE,FALSE,"High total difficulties (parent)","TV"
"Own_computerXLow self-esteem (adolescent)",1.22425491445198,FALSE,FALSE,"Low self-esteem (adolescent)","Own_computer"
"Social_mediaXLow pro-sociality (parent)",1.09907529338734,FALSE,FALSE,"Low pro-sociality (parent)","Social_media"
"Electronic_gamesXHigh hyperactivity/inattention (parent)",1.07925386554559,FALSE,FALSE,"High hyperactivity/inattention (parent)","Electronic_games"
"Other_internetXHigh conduct problems (parent)",1.05675408699309,FALSE,FALSE,"High conduct problems (parent)","Other_internet"
"Own_computerXHigh emotional problems (parent)",1.00877779695527,FALSE,FALSE,"High emotional problems (parent)","Own_computer"
"Own_computerXDepressed (adolescent)",0.997226917293391,FALSE,FALSE,"Depressed (adolescent)","Own_computer"
"TVXHigh peer problems (parent)",0.974110051576391,FALSE,FALSE,"High peer problems (parent)","TV"
"Own_computerXHigh hyperactivity/inattention (parent)",0.806254005188777,FALSE,FALSE,"High hyperactivity/inattention (parent)","Own_computer"
"Social_mediaXHigh emotional problems (parent)",0.798848400539762,FALSE,FALSE,"High emotional problems (parent)","Social_media"
"TVXDepressed (adolescent)",0.797829385979784,FALSE,FALSE,"Depressed (adolescent)","TV"
"Other_internetXHigh hyperactivity/inattention (parent)",0.770378088307473,FALSE,FALSE,"High hyperactivity/inattention (parent)","Other_internet"
"Social_mediaXHigh hyperactivity/inattention (parent)",0.762464945388564,FALSE,FALSE,"High hyperactivity/inattention (parent)","Social_media"
"Other_internetXLow pro-sociality (parent)",0.736506209047586,FALSE,FALSE,"Low pro-sociality (parent)","Other_internet"
"TVXHigh hyperactivity/inattention (parent)",0.714531279492407,FALSE,FALSE,"High hyperactivity/inattention (parent)","TV"
"Electronic_gamesXHigh emotional problems (parent)",0.633451560873726,FALSE,FALSE,"High emotional problems (parent)","Electronic_games"
"TVXLow pro-sociality (parent)",0.630733044542825,FALSE,FALSE,"Low pro-sociality (parent)","TV"
"Electronic_gamesXLow self-esteem (adolescent)",0.566010291444887,FALSE,FALSE,"Low self-esteem (adolescent)","Electronic_games"
"Other_internetXHigh total difficulties (parent)",0.552953125934503,FALSE,FALSE,"High total difficulties (parent)","Other_internet"
"Social_mediaXHigh conduct problems (parent)",0.534277203928308,FALSE,FALSE,"High conduct problems (parent)","Social_media"
"TVXHigh emotional problems (parent)",0.526012854550357,FALSE,FALSE,"High emotional problems (parent)","TV"
"Own_computerXHigh peer problems (parent)",0.524086165594019,FALSE,FALSE,"High peer problems (parent)","Own_computer"
"Own_computerXHigh total difficulties (parent)",0.506489800869029,FALSE,FALSE,"High total difficulties (parent)","Own_computer"
