"hyp","evalue","BHcrit","rejected","outcome","var"
"Other_internetXLow self-esteem (adolescent)",83.0939434193228,FALSE,FALSE,"Low self-esteem (adolescent)","Other_internet"
"Social_mediaXDepressed (adolescent)",2.96121277725478,FALSE,FALSE,"Depressed (adolescent)","Social_media"
"Other_internetXHigh peer problems (parent)",0.540016220020343,FALSE,FALSE,"High peer problems (parent)","Other_internet"
"Other_internetXDepressed (adolescent)",0.511932259335813,FALSE,FALSE,"Depressed (adolescent)","Other_internet"
"Electronic_gamesXLow pro-sociality (parent)",0.0389015266890148,FALSE,FALSE,"Low pro-sociality (parent)","Electronic_games"
"Electronic_gamesXHigh total difficulties (parent)",0.0271857042597201,FALSE,FALSE,"High total difficulties (parent)","Electronic_games"
"Social_mediaXLow self-esteem (adolescent)",0.00776007903310736,FALSE,FALSE,"Low self-esteem (adolescent)","Social_media"
"Electronic_gamesXHigh conduct problems (parent)",0.00459192674465517,FALSE,FALSE,"High conduct problems (parent)","Electronic_games"
"Social_mediaXHigh total difficulties (parent)",0.00347926332980766,FALSE,FALSE,"High total difficulties (parent)","Social_media"
"Social_mediaXHigh peer problems (parent)",0.00331637066284871,FALSE,FALSE,"High peer problems (parent)","Social_media"
"Electronic_gamesXDepressed (adolescent)",0.00140086065078598,FALSE,FALSE,"Depressed (adolescent)","Electronic_games"
"Other_internetXHigh emotional problems (parent)",0.0012965325062266,FALSE,FALSE,"High emotional problems (parent)","Other_internet"
"Electronic_gamesXHigh peer problems (parent)",0.00113426178951008,FALSE,FALSE,"High peer problems (parent)","Electronic_games"
"TVXHigh conduct problems (parent)",0.000722034515179634,FALSE,FALSE,"High conduct problems (parent)","TV"
"Own_computerXHigh conduct problems (parent)",0.000356159168661538,FALSE,FALSE,"High conduct problems (parent)","Own_computer"
"TVXLow self-esteem (adolescent)",0.000351528554880367,FALSE,FALSE,"Low self-esteem (adolescent)","TV"
"Own_computerXLow pro-sociality (parent)",0.000252385538550569,FALSE,FALSE,"Low pro-sociality (parent)","Own_computer"
"Own_computerXLow self-esteem (adolescent)",0.000215334989278349,FALSE,FALSE,"Low self-esteem (adolescent)","Own_computer"
"Social_mediaXLow pro-sociality (parent)",0.000195073805046857,FALSE,FALSE,"Low pro-sociality (parent)","Social_media"
"Other_internetXHigh conduct problems (parent)",0.000189968487302889,FALSE,FALSE,"High conduct problems (parent)","Other_internet"
"Own_computerXHigh emotional problems (parent)",0.000184068234839605,FALSE,FALSE,"High emotional problems (parent)","Own_computer"
"Own_computerXDepressed (adolescent)",0.000157328843964665,FALSE,FALSE,"Depressed (adolescent)","Own_computer"
"Electronic_gamesXHigh hyperactivity/inattention (parent)",0.000151547092891503,FALSE,FALSE,"High hyperactivity/inattention (parent)","Electronic_games"
"TVXHigh total difficulties (parent)",0.00014848245845836,FALSE,FALSE,"High total difficulties (parent)","TV"
"TVXHigh peer problems (parent)",0.000144238983564079,FALSE,FALSE,"High peer problems (parent)","TV"
"Own_computerXHigh hyperactivity/inattention (parent)",0.00012029973340666,FALSE,FALSE,"High hyperactivity/inattention (parent)","Own_computer"
"Other_internetXLow pro-sociality (parent)",0.000107902844732508,FALSE,FALSE,"Low pro-sociality (parent)","Other_internet"
"TVXDepressed (adolescent)",9.19350801773542e-05,FALSE,FALSE,"Depressed (adolescent)","TV"
"TVXHigh hyperactivity/inattention (parent)",8.88673663380097e-05,FALSE,FALSE,"High hyperactivity/inattention (parent)","TV"
"Social_mediaXHigh hyperactivity/inattention (parent)",8.71181259420692e-05,FALSE,FALSE,"High hyperactivity/inattention (parent)","Social_media"
"Social_mediaXHigh emotional problems (parent)",8.47039185942781e-05,FALSE,FALSE,"High emotional problems (parent)","Social_media"
"TVXLow pro-sociality (parent)",8.07102321797602e-05,FALSE,FALSE,"Low pro-sociality (parent)","TV"
"Electronic_gamesXHigh emotional problems (parent)",7.35649159467972e-05,FALSE,FALSE,"High emotional problems (parent)","Electronic_games"
"Own_computerXHigh peer problems (parent)",7.1466144347324e-05,FALSE,FALSE,"High peer problems (parent)","Own_computer"
"TVXHigh emotional problems (parent)",7.04824209149716e-05,FALSE,FALSE,"High emotional problems (parent)","TV"
"Electronic_gamesXLow self-esteem (adolescent)",5.0178861240069e-05,FALSE,FALSE,"Low self-esteem (adolescent)","Electronic_games"
"Other_internetXHigh hyperactivity/inattention (parent)",4.87510030423468e-05,FALSE,FALSE,"High hyperactivity/inattention (parent)","Other_internet"
"Own_computerXHigh total difficulties (parent)",4.82014377668543e-05,FALSE,FALSE,"High total difficulties (parent)","Own_computer"
"Other_internetXHigh total difficulties (parent)",4.48566137356111e-05,FALSE,FALSE,"High total difficulties (parent)","Other_internet"
"Social_mediaXHigh conduct problems (parent)",4.45923263263528e-05,FALSE,FALSE,"High conduct problems (parent)","Social_media"
