"var","evalue","yvar"
"Income",2.45923561616332e-13,"Depressed (adolescent)"
"Siblings",1.0091912442651e-12,"Depressed (adolescent)"
"Distress",1.31000580656912e-12,"Depressed (adolescent)"
"Time",3.46663102780339e-13,"Depressed (adolescent)"
"Illness",9.59461942677784e-11,"Depressed (adolescent)"
"Employed",2.97088055142645e-13,"Depressed (adolescent)"
"Score",9.55843417660435e-13,"Depressed (adolescent)"
"Father",4.42201033045981e-13,"Depressed (adolescent)"
"Closeness",2933621.55169588,"Depressed (adolescent)"
"Ethnicity",6.77527506608974e-13,"Depressed (adolescent)"
"Motivation",1.49609242855312e+40,"Depressed (adolescent)"
"BMI",2.91201870377508e-11,"Depressed (adolescent)"
"Age",3.40113986058178e-13,"Depressed (adolescent)"
"Male",2047529603646714,"Depressed (adolescent)"
"`Own computer`",3.75922654162355e-13,"Depressed (adolescent)"
"`Other internet`",7.77892180850272e-11,"Depressed (adolescent)"
"`Social media`",5.55616313267952e-11,"Depressed (adolescent)"
"`Electronic games`",8.14830767284673e-13,"Depressed (adolescent)"
"TV",2.57637954785364e-13,"Depressed (adolescent)"
"(Intercept)",2.49580012435877e-12,"Depressed (adolescent)"
