"","0.5 %","99.5 %"
"(Intercept)",-285.616792285736,-250.677191976301
"TV",-0.793156833991156,0.328071758895995
"Electronic_games",-0.00294380480495057,0.854548390827823
"Social_media",0.490796984780292,1.72899149434178
"Other_internet",0.405383285115516,1.66544564672494
"Own_computer",-0.482717773873565,0.150891212193241
"Male",-1.54876719580333,-0.977420417083857
"Age",-0.199216107327027,0.292931082464534
"BMI",0.00935468841892332,0.0640066633530404
"Motivation",-2.00815977971975,-1.48777391945815
"Ethnicity",-0.740218722233297,-0.0149472597040583
"Closeness",-0.970127392931891,-0.620433179894652
"Father",193.456747988873,176.181127561982
"Score",-0.0197557478857503,0.041685935751817
"Employed",-0.348938351260239,0.279720762305767
"Illness",0.201336972316536,0.774060825780711
"Time",-0.166226240076306,0.101428819234525
"Distress",-0.00786550685700702,0.0505982965248823
"Siblings",-0.249675619067613,0.00409251308570671
"Income",-0.000345713594465569,0.00139390491266321
