"var","evalue","yvar"
"Income",1.71997439639114e-21,"High conduct problems (parent)"
"Siblings",7.29992392468766e-23,"High conduct problems (parent)"
"Distress",2.42993777899281e-14,"High conduct problems (parent)"
"Time",2.52572534392196e-21,"High conduct problems (parent)"
"Illness",1.782321129106e-16,"High conduct problems (parent)"
"Employed",4.77656114976714e-23,"High conduct problems (parent)"
"Score",5.53677703891092e-16,"High conduct problems (parent)"
"Father",9.47050645813475e-23,"High conduct problems (parent)"
"Closeness",2994.59062394178,"High conduct problems (parent)"
"Ethnicity",7.74510301114996e-23,"High conduct problems (parent)"
"Motivation",2.16099481363499e-19,"High conduct problems (parent)"
"BMI",1.12122905185561e-20,"High conduct problems (parent)"
"Age",6.79142919078852e-21,"High conduct problems (parent)"
"Male",4.72756138033571e-19,"High conduct problems (parent)"
"`Own computer`",2.01433502147827e-22,"High conduct problems (parent)"
"`Other internet`",8.12517048634104e-23,"High conduct problems (parent)"
"`Social media`",4.20755419428364e-23,"High conduct problems (parent)"
"`Electronic games`",9.21844534467079e-23,"High conduct problems (parent)"
"TV",6.16276003678416e-23,"High conduct problems (parent)"
"(Intercept)",5.26700048049336e-19,"High conduct problems (parent)"
