"","x"
"(Intercept)",-19.566068527531
"TV",-0.448167036355932
"Electronic_games",0.451306210552544
"Social_media",-0.0460901835481474
"Other_internet",-0.300620605614782
"Own_computer",-0.206150676874544
"Male",0.105753135892765
"Age",-0.188129610021025
"BMI",0.0351951509026374
"Motivation",-0.384784083259707
"Ethnicity",0.134689436080328
"Closeness",-0.744295050832233
"Father",23.9086012049934
"Score",-0.0472646300256037
"Employed",-0.061141498603448
"Illness",0.393615909679318
"Time",-0.0835261543421013
"Distress",0.0795746582473952
"Siblings",0.0811442549537633
"Income",-0.000980527461898801
