"llik","modname","yvar"
-1626.69084868764,"minIncome","High conduct problems (parent)"
-1623.53123302358,"minSiblings","High conduct problems (parent)"
-1643.15450058537,"minDistress","High conduct problems (parent)"
-1627.07506756914,"minTime","High conduct problems (parent)"
-1638.23938126766,"minIllness","High conduct problems (parent)"
-1623.10708995961,"minEmployed","High conduct problems (parent)"
-1639.37287731725,"minScore","High conduct problems (parent)"
-1623.79155148279,"minFather","High conduct problems (parent)"
-1682.50738905033,"minCloseness","High conduct problems (parent)"
-1623.59042987088,"minEthnicity","High conduct problems (parent)"
-1631.52427814627,"minMotivation","High conduct problems (parent)"
-1628.56554982711,"minBMI","High conduct problems (parent)"
-1628.06420068682,"minAge","High conduct problems (parent)"
-1632.30711897388,"minMale","High conduct problems (parent)"
-1624.54624331653,"min`Own computer`","High conduct problems (parent)"
-1623.63833580769,"min`Other internet`","High conduct problems (parent)"
-1622.98025062416,"min`Social media`","High conduct problems (parent)"
-1623.76457550239,"min`Electronic games`","High conduct problems (parent)"
-1623.36189383187,"minTV","High conduct problems (parent)"
-1632.41517050046,"min(Intercept)","High conduct problems (parent)"
