"var","evalue","yvar"
"Income",1.32594831140891e-12,"High total difficulties (parent)"
"Siblings",3.31046090881817e-16,"High total difficulties (parent)"
"Distress",706.498678103172,"High total difficulties (parent)"
"Time",1.94906155829531e-15,"High total difficulties (parent)"
"Illness",75.6236965206064,"High total difficulties (parent)"
"Employed",6.22716061817882e-16,"High total difficulties (parent)"
"Score",1.85938473160281e-12,"High total difficulties (parent)"
"Father",3.46047400550178e-16,"High total difficulties (parent)"
"Closeness",2.74620503667414e-07,"High total difficulties (parent)"
"Ethnicity",4.66298959997378e-16,"High total difficulties (parent)"
"Motivation",0.0146634314125755,"High total difficulties (parent)"
"BMI",2.89542851029664e-12,"High total difficulties (parent)"
"Age",3.81230785022607e-16,"High total difficulties (parent)"
"Male",6.94551238501881e-16,"High total difficulties (parent)"
"`Own computer`",4.61719808446433e-16,"High total difficulties (parent)"
"`Other internet`",5.1020631427925e-16,"High total difficulties (parent)"
"`Social media`",1.04161850178601e-14,"High total difficulties (parent)"
"`Electronic games`",1.63111161628157e-15,"High total difficulties (parent)"
"TV",1.88109874784521e-15,"High total difficulties (parent)"
"(Intercept)",2.55214942658571e-15,"High total difficulties (parent)"
