"","x"
"(Intercept)",-19.5660685137741
"TV",-0.362630631829359
"Electronic_games",0.612961646019382
"Social_media",-0.684411186302784
"Other_internet",0.0753782735574864
"Own_computer",-0.00595915701444014
"Male",-0.0320070529838826
"Age",-0.193765585013543
"BMI",0.0533166829131497
"Motivation",-0.769813085951588
"Ethnicity",-0.111833277773431
"Closeness",-0.568645044216118
"Father",24.3221553252136
"Score",-0.0564572673900201
"Employed",-0.267981356338192
"Illness",1.05814234639172
"Time",-0.119040525612728
"Distress",0.119578136098616
"Siblings",-0.0236445219743059
"Income",-0.000789892528300971
