"hyp","evalue","BHcrit","rejected"
"DistressXHigh total difficulties (parent)",706.498678103172,TRUE,TRUE
"IllnessXHigh total difficulties (parent)",75.6236965206064,FALSE,FALSE
"MotivationXHigh total difficulties (parent)",0.0146634314125755,FALSE,FALSE
"ClosenessXHigh total difficulties (parent)",2.74620503667414e-07,FALSE,FALSE
"BMIXHigh total difficulties (parent)",2.89542851029664e-12,FALSE,FALSE
"ScoreXHigh total difficulties (parent)",1.85938473160281e-12,FALSE,FALSE
"IncomeXHigh total difficulties (parent)",1.32594831140891e-12,FALSE,FALSE
"`Social media`XHigh total difficulties (parent)",1.04161850178601e-14,FALSE,FALSE
"TimeXHigh total difficulties (parent)",1.94906155829531e-15,FALSE,FALSE
"TVXHigh total difficulties (parent)",1.88109874784521e-15,FALSE,FALSE
"`Electronic games`XHigh total difficulties (parent)",1.63111161628157e-15,FALSE,FALSE
"MaleXHigh total difficulties (parent)",6.94551238501881e-16,FALSE,FALSE
"EmployedXHigh total difficulties (parent)",6.22716061817882e-16,FALSE,FALSE
"`Other internet`XHigh total difficulties (parent)",5.1020631427925e-16,FALSE,FALSE
"EthnicityXHigh total difficulties (parent)",4.66298959997378e-16,FALSE,FALSE
"`Own computer`XHigh total difficulties (parent)",4.61719808446433e-16,FALSE,FALSE
"AgeXHigh total difficulties (parent)",3.81230785022607e-16,FALSE,FALSE
"FatherXHigh total difficulties (parent)",3.46047400550178e-16,FALSE,FALSE
"SiblingsXHigh total difficulties (parent)",3.31046090881817e-16,FALSE,FALSE
