"","x"
"(Intercept)",-19.566068323987
"TV",0.0333291038819865
"Electronic_games",0.0970013788299609
"Social_media",-0.216447446891536
"Other_internet",0.497153974986008
"Own_computer",0.151918580760826
"Male",-0.667490015967338
"Age",0.0353883325876627
"BMI",0.0156653797770147
"Motivation",-0.596265916518352
"Ethnicity",0.079189976717384
"Closeness",-0.130678009744736
"Father",19.8713847549073
"Score",-0.047409154099396
"Employed",-0.148997563610561
"Illness",0.957927394806393
"Time",-0.0201180864878474
"Distress",0.110823719884203
"Siblings",-0.0301590609180101
"Income",-0.000497352395525222
