"","0.5 %","99.5 %"
"(Intercept)",-285.856910130674,-251.011464067463
"TV",-0.453967080107962,0.523512876705794
"Electronic_games",-0.283497238032692,0.47720061535202
"Social_media",-0.734209800124499,0.302374657885846
"Other_internet",-0.0137527824652896,1.0097998711792
"Own_computer",-0.126446969009658,0.441008599059998
"Male",-0.904171110375824,-0.432901624993119
"Age",-0.172972525782092,0.246898694955362
"BMI",-0.00754259761884784,0.0385480689752386
"Motivation",-0.815728745537458,-0.376813007449756
"Ethnicity",-0.217577588471692,0.38420765882758
"Closeness",-0.284088962935867,0.0232810203946948
"Father",257.730080202177,297.127062788838
"Score",-0.0737033977000345,-0.02122775990141
"Employed",-0.400102808547911,0.105662684145854
"Illness",0.728275831149016,1.18504491755112
"Time",-0.133112718034295,0.0931561897738912
"Distress",0.0876248421476516,0.134135706079899
"Siblings",-0.135932148383378,0.0741073088213359
"Income",-0.00127078628087879,0.000269829785288395
