"var","evalue","yvar"
"Income",3.80238783999573e-12,"High hyperactivity/inattention (parent)"
"Siblings",4.38487351834332e-13,"High hyperactivity/inattention (parent)"
"Distress",7.55584975114402e-05,"High hyperactivity/inattention (parent)"
"Time",9.0038490963098e-12,"High hyperactivity/inattention (parent)"
"Illness",0.00357496059375834,"High hyperactivity/inattention (parent)"
"Employed",8.52452239075942e-13,"High hyperactivity/inattention (parent)"
"Score",6.84676404854063e-12,"High hyperactivity/inattention (parent)"
"Father",2.70185719935e-12,"High hyperactivity/inattention (parent)"
"Closeness",1.22447011136602e-05,"High hyperactivity/inattention (parent)"
"Ethnicity",8.05066608760591e-12,"High hyperactivity/inattention (parent)"
"Motivation",0.0123244689071223,"High hyperactivity/inattention (parent)"
"BMI",9.12263867899553e-13,"High hyperactivity/inattention (parent)"
"Age",5.2319914044917e-13,"High hyperactivity/inattention (parent)"
"Male",88.3716065429172,"High hyperactivity/inattention (parent)"
"`Own computer`",3.80851714034264e-13,"High hyperactivity/inattention (parent)"
"`Other internet`",6.08312062292369e-13,"High hyperactivity/inattention (parent)"
"`Social media`",3.5972363348613e-13,"High hyperactivity/inattention (parent)"
"`Electronic games`",1.07790008921366e-12,"High hyperactivity/inattention (parent)"
"TV",4.15239965304147e-13,"High hyperactivity/inattention (parent)"
"(Intercept)",1.05184580662344e-12,"High hyperactivity/inattention (parent)"
