"hyp","evalue","BHcrit","rejected"
"MaleXHigh hyperactivity/inattention (parent)",88.3716065429172,FALSE,FALSE
"MotivationXHigh hyperactivity/inattention (parent)",0.0123244689071223,FALSE,FALSE
"IllnessXHigh hyperactivity/inattention (parent)",0.00357496059375834,FALSE,FALSE
"DistressXHigh hyperactivity/inattention (parent)",7.55584975114402e-05,FALSE,FALSE
"ClosenessXHigh hyperactivity/inattention (parent)",1.22447011136602e-05,FALSE,FALSE
"TimeXHigh hyperactivity/inattention (parent)",9.0038490963098e-12,FALSE,FALSE
"EthnicityXHigh hyperactivity/inattention (parent)",8.05066608760591e-12,FALSE,FALSE
"ScoreXHigh hyperactivity/inattention (parent)",6.84676404854063e-12,FALSE,FALSE
"IncomeXHigh hyperactivity/inattention (parent)",3.80238783999573e-12,FALSE,FALSE
"FatherXHigh hyperactivity/inattention (parent)",2.70185719935e-12,FALSE,FALSE
"`Electronic games`XHigh hyperactivity/inattention (parent)",1.07790008921366e-12,FALSE,FALSE
"BMIXHigh hyperactivity/inattention (parent)",9.12263867899553e-13,FALSE,FALSE
"EmployedXHigh hyperactivity/inattention (parent)",8.52452239075942e-13,FALSE,FALSE
"`Other internet`XHigh hyperactivity/inattention (parent)",6.08312062292369e-13,FALSE,FALSE
"AgeXHigh hyperactivity/inattention (parent)",5.2319914044917e-13,FALSE,FALSE
"SiblingsXHigh hyperactivity/inattention (parent)",4.38487351834332e-13,FALSE,FALSE
"TVXHigh hyperactivity/inattention (parent)",4.15239965304147e-13,FALSE,FALSE
"`Own computer`XHigh hyperactivity/inattention (parent)",3.80851714034264e-13,FALSE,FALSE
"`Social media`XHigh hyperactivity/inattention (parent)",3.5972363348613e-13,FALSE,FALSE
