"llik","modname","yvar"
-1365.84700138315,"minIncome","High hyperactivity/inattention (parent)"
-1363.68694782307,"minSiblings","High hyperactivity/inattention (parent)"
-1382.65178985051,"minDistress","High hyperactivity/inattention (parent)"
-1366.7090242981,"minTime","High hyperactivity/inattention (parent)"
-1386.50859212513,"minIllness","High hyperactivity/inattention (parent)"
-1364.35173403888,"minEmployed","High hyperactivity/inattention (parent)"
-1366.4351482738,"minScore","High hyperactivity/inattention (parent)"
-1365.50531152298,"minFather","High hyperactivity/inattention (parent)"
-1380.83197597404,"minCloseness","High hyperactivity/inattention (parent)"
-1366.59712696663,"minEthnicity","High hyperactivity/inattention (parent)"
-1387.74622460007,"minMotivation","High hyperactivity/inattention (parent)"
-1364.4195461329,"minBMI","High hyperactivity/inattention (parent)"
-1363.86357901311,"minAge","High hyperactivity/inattention (parent)"
-1396.62394397584,"minMale","High hyperactivity/inattention (parent)"
-1363.54602695319,"min`Own computer`","High hyperactivity/inattention (parent)"
-1364.01430486648,"min`Other internet`","High hyperactivity/inattention (parent)"
-1363.48895290771,"min`Social media`","High hyperactivity/inattention (parent)"
-1364.58638692139,"min`Electronic games`","High hyperactivity/inattention (parent)"
-1363.63247343861,"minTV","High hyperactivity/inattention (parent)"
-1364.56191866674,"min(Intercept)","High hyperactivity/inattention (parent)"
