"var","evalue","yvar"
"Income",2.71036516647185e-06,"High peer problems (parent)"
"Siblings",1.39959699860763e-06,"High peer problems (parent)"
"Distress",4739.61986220889,"High peer problems (parent)"
"Time",2.80810743643516e-07,"High peer problems (parent)"
"Illness",0.0129070972671259,"High peer problems (parent)"
"Employed",1.14878018366167e-07,"High peer problems (parent)"
"Score",0.00622878002961468,"High peer problems (parent)"
"Father",1.45531888219458e-08,"High peer problems (parent)"
"Closeness",2.74145167537284e-06,"High peer problems (parent)"
"Ethnicity",2.12257128114647e-08,"High peer problems (parent)"
"Motivation",5.65563718067981e-05,"High peer problems (parent)"
"BMI",5.15491297450096e-05,"High peer problems (parent)"
"Age",2.5829731939932e-08,"High peer problems (parent)"
"Male",1.41904839920338e-08,"High peer problems (parent)"
"`Own computer`",2.03151882660646e-08,"High peer problems (parent)"
"`Other internet`",7.94869643375156e-07,"High peer problems (parent)"
"`Social media`",1.10166357047045e-06,"High peer problems (parent)"
"`Electronic games`",1.4230309379226e-06,"High peer problems (parent)"
"TV",1.2970860001864e-07,"High peer problems (parent)"
"(Intercept)",9.69882325845436e-08,"High peer problems (parent)"
