"","x"
"(Intercept)",-19.5660685448833
"TV",0.228539064265544
"Electronic_games",0.316204853478639
"Social_media",-0.504564699765979
"Other_internet",0.762668933639174
"Own_computer",0.0155765227853385
"Male",-0.0177692459764014
"Age",-0.127611330914732
"BMI",0.0481885322991932
"Motivation",-0.216861957677397
"Ethnicity",-0.135379176187918
"Closeness",-0.241830146978431
"Father",21.4895007589009
"Score",-0.0440283328799112
"Employed",-0.211544081642127
"Illness",0.601436843600193
"Time",-0.0352577039100057
"Distress",0.0804521700303403
"Siblings",-0.118263011800704
"Income",-0.0010026413967951
