"hyp","evalue","BHcrit","rejected"
"DistressXHigh peer problems (parent)",4739.61986220889,TRUE,TRUE
"IllnessXHigh peer problems (parent)",0.0129070972671259,FALSE,FALSE
"ScoreXHigh peer problems (parent)",0.00622878002961468,FALSE,FALSE
"MotivationXHigh peer problems (parent)",5.65563718067981e-05,FALSE,FALSE
"BMIXHigh peer problems (parent)",5.15491297450096e-05,FALSE,FALSE
"ClosenessXHigh peer problems (parent)",2.74145167537284e-06,FALSE,FALSE
"IncomeXHigh peer problems (parent)",2.71036516647185e-06,FALSE,FALSE
"`Electronic games`XHigh peer problems (parent)",1.4230309379226e-06,FALSE,FALSE
"SiblingsXHigh peer problems (parent)",1.39959699860763e-06,FALSE,FALSE
"`Social media`XHigh peer problems (parent)",1.10166357047045e-06,FALSE,FALSE
"`Other internet`XHigh peer problems (parent)",7.94869643375156e-07,FALSE,FALSE
"TimeXHigh peer problems (parent)",2.80810743643516e-07,FALSE,FALSE
"TVXHigh peer problems (parent)",1.2970860001864e-07,FALSE,FALSE
"EmployedXHigh peer problems (parent)",1.14878018366167e-07,FALSE,FALSE
"AgeXHigh peer problems (parent)",2.5829731939932e-08,FALSE,FALSE
"EthnicityXHigh peer problems (parent)",2.12257128114647e-08,FALSE,FALSE
"`Own computer`XHigh peer problems (parent)",2.03151882660646e-08,FALSE,FALSE
"FatherXHigh peer problems (parent)",1.45531888219458e-08,FALSE,FALSE
"MaleXHigh peer problems (parent)",1.41904839920338e-08,FALSE,FALSE
