"","x"
"(Intercept)",-19.5660685141599
"TV",-0.162831846423637
"Electronic_games",0.734102181650589
"Social_media",-0.407945452888312
"Other_internet",0.245600206999597
"Own_computer",-0.224754655891156
"Male",0.373502986636958
"Age",-0.0559702064538596
"BMI",-0.00658846310914274
"Motivation",-0.402664395621512
"Ethnicity",-0.0939447787193256
"Closeness",-0.623159263696596
"Father",20.5403838397376
"Score",0.00337010218343921
"Employed",-0.00420910105050031
"Illness",0.379495469266665
"Time",-0.0377482242437439
"Distress",0.0527793694787591
"Siblings",0.172562202968735
"Income",-0.00016156804534254
