"hyp","evalue","BHcrit","rejected"
"ClosenessXLow pro-sociality (parent)",3.27164017567017e-09,FALSE,FALSE
"SiblingsXLow pro-sociality (parent)",7.18361682539143e-16,FALSE,FALSE
"MotivationXLow pro-sociality (parent)",3.7898952180131e-16,FALSE,FALSE
"DistressXLow pro-sociality (parent)",3.44118932547531e-16,FALSE,FALSE
"`Electronic games`XLow pro-sociality (parent)",2.22447624583215e-16,FALSE,FALSE
"MaleXLow pro-sociality (parent)",6.98493046670821e-17,FALSE,FALSE
"TVXLow pro-sociality (parent)",3.68819060362714e-17,FALSE,FALSE
"`Social media`XLow pro-sociality (parent)",1.49206235384685e-17,FALSE,FALSE
"IllnessXLow pro-sociality (parent)",1.4822921494593e-17,FALSE,FALSE
"FatherXLow pro-sociality (parent)",8.47839000157719e-18,FALSE,FALSE
"ScoreXLow pro-sociality (parent)",6.9267358014521e-18,FALSE,FALSE
"EmployedXLow pro-sociality (parent)",6.45911878981287e-18,FALSE,FALSE
"BMIXLow pro-sociality (parent)",5.25703188571795e-18,FALSE,FALSE
"IncomeXLow pro-sociality (parent)",4.96403492475686e-18,FALSE,FALSE
"TimeXLow pro-sociality (parent)",4.73824849548748e-18,FALSE,FALSE
"EthnicityXLow pro-sociality (parent)",4.46351232765026e-18,FALSE,FALSE
"`Own computer`XLow pro-sociality (parent)",3.97264285513318e-18,FALSE,FALSE
"`Other internet`XLow pro-sociality (parent)",3.77428103930668e-18,FALSE,FALSE
"AgeXLow pro-sociality (parent)",3.7499271938976e-18,FALSE,FALSE
