"var","evalue","yvar"
"Income",1.04476596705817e-55,"Depressed (adolescent)"
"Siblings",2.1004280548652e-55,"Depressed (adolescent)"
"Distress",5.97882156880762e-55,"Depressed (adolescent)"
"Time",4.18474617298377e-56,"Depressed (adolescent)"
"Illness",6.92570150154836e-50,"Depressed (adolescent)"
"Employed",4.09927221850886e-56,"Depressed (adolescent)"
"Score",1.07814606003456e-54,"Depressed (adolescent)"
"Father",5.04711503187941e-56,"Depressed (adolescent)"
"Closeness",2.90333924022317e-15,"Depressed (adolescent)"
"Ethnicity",2.67570344423247e-55,"Depressed (adolescent)"
"Motivation",1.9405504709654e+39,"Depressed (adolescent)"
"BMI",2.76010758083571e-50,"Depressed (adolescent)"
"Age",7.83763602724687e-56,"Depressed (adolescent)"
"Male",4.6729425785248e-16,"Depressed (adolescent)"
"`Own computer`",8.46085495310491e-56,"Depressed (adolescent)"
"`Other internet`",5.79451189584594e-51,"Depressed (adolescent)"
"`Social media`",2.56143968053024e-50,"Depressed (adolescent)"
"`Electronic games`",4.03160047274082e-55,"Depressed (adolescent)"
"TV",5.59546784438198e-56,"Depressed (adolescent)"
"(Intercept)",7.58174832980684e-55,"Depressed (adolescent)"
