"llik","modname","yvar"
-2663.17660962682,"minIncome","Depressed (adolescent)"
-2663.87495788106,"minSiblings","Depressed (adolescent)"
-2664.92104020793,"minDistress","Depressed (adolescent)"
-2662.26167767895,"minTime","Depressed (adolescent)"
-2676.58098153323,"minIllness","Depressed (adolescent)"
-2662.24104107874,"minEmployed","Depressed (adolescent)"
-2665.51064476944,"minScore","Depressed (adolescent)"
-2662.44904842769,"minFather","Depressed (adolescent)"
-2756.30208197793,"minCloseness","Depressed (adolescent)"
-2664.11702903704,"minEthnicity","Depressed (adolescent)"
-2880.23878714364,"minMotivation","Depressed (adolescent)"
-2675.66101184396,"minBMI","Depressed (adolescent)"
-2662.88916889022,"minAge","Depressed (adolescent)"
-2754.47542432394,"minMale","Depressed (adolescent)"
-2662.96568185526,"min`Own computer`","Depressed (adolescent)"
-2674.10006833818,"min`Other internet`","Depressed (adolescent)"
-2675.58631166205,"min`Social media`","Depressed (adolescent)"
-2664.52698015821,"min`Electronic games`","Depressed (adolescent)"
-2662.55218858503,"minTV","Depressed (adolescent)"
-2665.15856054489,"min(Intercept)","Depressed (adolescent)"
