"hyp","evalue","BHcrit","rejected"
"ClosenessXHigh conduct problems (parent)",3.60683363451127e-05,FALSE,FALSE
"DistressXHigh conduct problems (parent)",1.0383309816737e-30,FALSE,FALSE
"ScoreXHigh conduct problems (parent)",1.2844341488286e-44,FALSE,FALSE
"MotivationXHigh conduct problems (parent)",4.4491175478772e-45,FALSE,FALSE
"IllnessXHigh conduct problems (parent)",1.96167709857556e-47,FALSE,FALSE
"IncomeXHigh conduct problems (parent)",2.94418732631803e-50,FALSE,FALSE
"BMIXHigh conduct problems (parent)",1.77606986242405e-50,FALSE,FALSE
"`Electronic games`XHigh conduct problems (parent)",1.23902742421781e-52,FALSE,FALSE
"MaleXHigh conduct problems (parent)",1.11815798528399e-52,FALSE,FALSE
"EthnicityXHigh conduct problems (parent)",6.42831063165847e-53,FALSE,FALSE
"`Own computer`XHigh conduct problems (parent)",4.96942655490042e-53,FALSE,FALSE
"AgeXHigh conduct problems (parent)",4.48879044096807e-53,FALSE,FALSE
"TimeXHigh conduct problems (parent)",4.36811764209686e-53,FALSE,FALSE
"FatherXHigh conduct problems (parent)",2.90349375763782e-53,FALSE,FALSE
"`Other internet`XHigh conduct problems (parent)",2.20962734009835e-53,FALSE,FALSE
"TVXHigh conduct problems (parent)",2.12279866459984e-53,FALSE,FALSE
"SiblingsXHigh conduct problems (parent)",1.93450929687826e-53,FALSE,FALSE
"EmployedXHigh conduct problems (parent)",7.77967763062827e-54,FALSE,FALSE
"`Social media`XHigh conduct problems (parent)",5.1999129143099e-54,FALSE,FALSE
