"hyp","evalue","BHcrit","rejected"
"DistressXHigh total difficulties (parent)",3.16007723822783e-12,FALSE,FALSE
"IllnessXHigh total difficulties (parent)",3.60863374897447e-21,FALSE,FALSE
"MotivationXHigh total difficulties (parent)",3.29338792063259e-31,FALSE,FALSE
"ClosenessXHigh total difficulties (parent)",2.9992650170907e-35,FALSE,FALSE
"ScoreXHigh total difficulties (parent)",1.50331357225195e-46,FALSE,FALSE
"BMIXHigh total difficulties (parent)",7.86230457246622e-48,FALSE,FALSE
"`Electronic games`XHigh total difficulties (parent)",1.49757827252314e-50,FALSE,FALSE
"IncomeXHigh total difficulties (parent)",2.78396070734167e-51,FALSE,FALSE
"`Social media`XHigh total difficulties (parent)",1.82155622830322e-51,FALSE,FALSE
"TimeXHigh total difficulties (parent)",4.69272474424559e-53,FALSE,FALSE
"FatherXHigh total difficulties (parent)",3.26804352561285e-53,FALSE,FALSE
"EmployedXHigh total difficulties (parent)",2.00826979030005e-53,FALSE,FALSE
"TVXHigh total difficulties (parent)",1.07746359838212e-53,FALSE,FALSE
"AgeXHigh total difficulties (parent)",6.35400654108331e-54,FALSE,FALSE
"SiblingsXHigh total difficulties (parent)",5.67708450917937e-54,FALSE,FALSE
"MaleXHigh total difficulties (parent)",2.79974934960203e-54,FALSE,FALSE
"`Other internet`XHigh total difficulties (parent)",2.64155109677802e-54,FALSE,FALSE
"EthnicityXHigh total difficulties (parent)",2.61841759659385e-54,FALSE,FALSE
"`Own computer`XHigh total difficulties (parent)",2.50674150203567e-54,FALSE,FALSE
