"llik","modname","yvar"
-2730.8527495039,"minIncome","High total difficulties (parent)"
-2724.6575574066,"minSiblings","High total difficulties (parent)"
-2820.78028997181,"minDistress","High total difficulties (parent)"
-2726.76971807196,"minTime","High total difficulties (parent)"
-2800.18975690291,"minIllness","High total difficulties (parent)"
-2725.9209782398,"minEmployed","High total difficulties (parent)"
-2741.74947206016,"minScore","High total difficulties (parent)"
-2726.40789618492,"minFather","High total difficulties (parent)"
-2767.76860362752,"minCloseness","High total difficulties (parent)"
-2723.88368976083,"minEthnicity","High total difficulties (parent)"
-2777.0724935332,"minMotivation","High total difficulties (parent)"
-2738.79870992032,"minBMI","High total difficulties (parent)"
-2724.77020516158,"minAge","High total difficulties (parent)"
-2723.95064949146,"minMale","High total difficulties (parent)"
-2723.84010329967,"min`Own computer`","High total difficulties (parent)"
-2723.89248587757,"min`Other internet`","High total difficulties (parent)"
-2730.42856608149,"min`Social media`","High total difficulties (parent)"
-2732.5353092867,"min`Electronic games`","High total difficulties (parent)"
-2725.2983144483,"minTV","High total difficulties (parent)"
-2728.71354966494,"min(Intercept)","High total difficulties (parent)"
