"llik","modname","yvar"
-2783.7090168147,"minIncome","High hyperactivity/inattention (parent)"
-2776.42386427146,"minSiblings","High hyperactivity/inattention (parent)"
-2815.24554414807,"minDistress","High hyperactivity/inattention (parent)"
-2778.80718905428,"minTime","High hyperactivity/inattention (parent)"
-2822.53396947539,"minIllness","High hyperactivity/inattention (parent)"
-2775.34322267914,"minEmployed","High hyperactivity/inattention (parent)"
-2783.33694525335,"minScore","High hyperactivity/inattention (parent)"
-2776.63155851152,"minFather","High hyperactivity/inattention (parent)"
-2797.5947429089,"minCloseness","High hyperactivity/inattention (parent)"
-2777.53272921858,"minEthnicity","High hyperactivity/inattention (parent)"
-2822.17316330213,"minMotivation","High hyperactivity/inattention (parent)"
-2774.98183961076,"minBMI","High hyperactivity/inattention (parent)"
-2776.22838341702,"minAge","High hyperactivity/inattention (parent)"
-2839.77375316367,"minMale","High hyperactivity/inattention (parent)"
-2775.158711745,"min`Own computer`","High hyperactivity/inattention (parent)"
-2775.68385804573,"min`Other internet`","High hyperactivity/inattention (parent)"
-2774.91559556227,"min`Social media`","High hyperactivity/inattention (parent)"
-2776.1833457552,"min`Electronic games`","High hyperactivity/inattention (parent)"
-2776.4757359395,"minTV","High hyperactivity/inattention (parent)"
-2779.18010729882,"min(Intercept)","High hyperactivity/inattention (parent)"
