"llik","modname","yvar"
-4164.21222415512,"minIncome","High peer problems (parent)"
-4159.38300107376,"minSiblings","High peer problems (parent)"
-4211.24631988385,"minDistress","High peer problems (parent)"
-4155.24294595766,"minTime","High peer problems (parent)"
-4185.69226614601,"minIllness","High peer problems (parent)"
-4156.05610941367,"minEmployed","High peer problems (parent)"
-4170.79397909051,"minScore","High peer problems (parent)"
-4154.2738897268,"minFather","High peer problems (parent)"
-4165.25632128848,"minCloseness","High peer problems (parent)"
-4154.03519295036,"minEthnicity","High peer problems (parent)"
-4164.33147506375,"minMotivation","High peer problems (parent)"
-4177.26503952152,"minBMI","High peer problems (parent)"
-4154.87993712637,"minAge","High peer problems (parent)"
-4154.38716884733,"minMale","High peer problems (parent)"
-4153.66089828147,"min`Own computer`","High peer problems (parent)"
-4163.09354668845,"min`Other internet`","High peer problems (parent)"
-4162.68291828812,"min`Social media`","High peer problems (parent)"
-4162.17034964521,"min`Electronic games`","High peer problems (parent)"
-4154.66551792625,"minTV","High peer problems (parent)"
-4155.53146230784,"min(Intercept)","High peer problems (parent)"
