"var","evalue","yvar"
"Income",5.12774033088523e-53,"Low pro-sociality (parent)"
"Siblings",4.96788343250772e-51,"Low pro-sociality (parent)"
"Distress",7.1854460454833e-50,"Low pro-sociality (parent)"
"Time",4.00921204849516e-53,"Low pro-sociality (parent)"
"Illness",3.42873685431939e-50,"Low pro-sociality (parent)"
"Employed",2.32580770445896e-53,"Low pro-sociality (parent)"
"Score",2.47133229590715e-53,"Low pro-sociality (parent)"
"Father",2.30612929445703e-53,"Low pro-sociality (parent)"
"Closeness",1.17151530661893e-36,"Low pro-sociality (parent)"
"Ethnicity",3.10044614603579e-53,"Low pro-sociality (parent)"
"Motivation",1.04023106450455e-48,"Low pro-sociality (parent)"
"BMI",2.64669666939176e-53,"Low pro-sociality (parent)"
"Age",2.54706145420829e-53,"Low pro-sociality (parent)"
"Male",1.81174623108964e-48,"Low pro-sociality (parent)"
"`Own computer`",1.14177519133123e-52,"Low pro-sociality (parent)"
"`Other internet`",2.73099568560574e-53,"Low pro-sociality (parent)"
"`Social media`",7.72008004389336e-53,"Low pro-sociality (parent)"
"`Electronic games`",1.28154497883131e-50,"Low pro-sociality (parent)"
"TV",2.7167516349668e-53,"Low pro-sociality (parent)"
"(Intercept)",2.9907080169099e-53,"Low pro-sociality (parent)"
