"llik","modname","yvar"
-2150.14998706692,"minIncome","Low pro-sociality (parent)"
-2154.72348605276,"minSiblings","Low pro-sociality (parent)"
-2157.39513486276,"minDistress","Low pro-sociality (parent)"
-2149.90391671146,"minTime","Low pro-sociality (parent)"
-2156.65526919437,"minIllness","Low pro-sociality (parent)"
-2149.35938936456,"minEmployed","Low pro-sociality (parent)"
-2149.42007938236,"minScore","Low pro-sociality (parent)"
-2149.35089247507,"minFather","Low pro-sociality (parent)"
-2187.81756661169,"minCloseness","Low pro-sociality (parent)"
-2149.64686800529,"minEthnicity","Low pro-sociality (parent)"
-2160.06769031694,"minMotivation","Low pro-sociality (parent)"
-2149.48863430865,"minBMI","Low pro-sociality (parent)"
-2149.45026230986,"minAge","Low pro-sociality (parent)"
-2160.6225385998,"minMale","Low pro-sociality (parent)"
-2150.9504913157,"min`Own computer`","Low pro-sociality (parent)"
-2149.51998824879,"min`Other internet`","Low pro-sociality (parent)"
-2150.55914671844,"min`Social media`","Low pro-sociality (parent)"
-2155.67114362985,"min`Electronic games`","Low pro-sociality (parent)"
-2149.51475890085,"minTV","Low pro-sociality (parent)"
-2149.61083214041,"min(Intercept)","Low pro-sociality (parent)"
